,density,network,peak_size_prop
0,0.0004264030389019999,Web of Trust,0.5522509363295878
1,0.0015537345342493286,Arxiv,0.6983597883597884
2,0.0032448880211024796,Adolescent health,0.832780622292241
3,0.007725692408550921,UC Irvine,0.15934495509772847
4,0.0085017730219967,Email Spain,0.8194969108561344
5,0.012759838617358406,Network science,0.5231398416886544
6,0.03219349457881568,CKM physicians,0.8003636363636362
7,0.034363319982290134,Email EU Core,0.1480425963488843
8,0.08038075092543628,Terrorist,0.7593548387096775
9,0.08408249603384453,Dolphins,0.7432258064516125
10,0.08680792891319207,Les Miserables,0.3600000000000001
11,0.21322537112010798,Kapferer tailor,0.41692307692307695
12,0.29554655870445345,Hollywood music,0.25487179487179473
13,0.31333333333333335,Sampson's monastery,0.7224
14,0.4134680134680135,Golden Age,0.08272727272727273
15,0.4274193548387097,NFL,0.0625
16,0.45830485304169516,Intra-organizational,0.07610389610389585
17,0.7397504456327986,Freeman's EIES,0.059999999999999866
