hx_b,hx_w,mu
3.3722325790200003,3.37587286716,0.0444
3.37785837672,3.37344248572,0.0570857
3.3762508208999997,3.37486625322,0.0705176
3.3731490697099997,3.37731756007,0.0847636
3.37499162277,3.3767343990100005,0.0999
3.37865324509,3.37656375691,0.116013
3.3759835221800003,3.37638791541,0.1332
3.37539171791,3.37480950418,0.151572
3.37430720299,3.37587994827,0.171257
3.3738607065900004,3.37624848348,0.1924
3.37442089235,3.3755412637099997,0.215169
3.37360635335,3.3756029587300005,0.23976
3.3780875661,3.37725775371,0.2664
3.37545330152,3.3758233463999994,0.295357
3.37364486448,3.37603721488,0.326945
3.37496517871,3.37543909951,0.361543
3.37534475177,3.3735747273200003,0.3996
