hx,nA,nB,transitivity
3.2848548810000007,100,10,0.00539568
3.2949751819000004,99,11,0.00549339
3.302443572899999,98,12,0.00559238
3.3136761671000006,97,13,0.0056926
3.3131885539,96,14,0.00579399
3.3213077121999985,95,15,0.00589648
3.320702107700002,94,16,0.006
3.322916396600001,93,17,0.00610445
3.335496141800001,92,18,0.00620975
3.330796602399999,91,19,0.00631579
3.3461488930999996,90,20,0.00642245
3.3357043809999998,89,21,0.00652963
3.3455020616999995,88,22,0.00663717
3.3486117063000007,87,23,0.00674494
3.3506830583000005,86,24,0.00685279
3.3449126286000013,85,25,0.00696056
3.3483072485999985,84,26,0.00706806
3.3597933780000018,83,27,0.00717513
3.359638366399999,82,28,0.00728155
3.362219976399999,81,29,0.00738714
3.352703793900001,80,30,0.00749168
3.371817434400001,79,31,0.00759494
3.3598560105,78,32,0.00769669
3.353264956500001,77,33,0.00779671
3.356331398799999,76,34,0.00789474
3.3684072124999984,75,35,0.00799053
3.3721343411,74,36,0.00808383
3.363051223100001,73,37,0.00817439
3.3710832525000014,72,38,0.00826193
3.356610587199999,71,39,0.00834621
3.3729332343999983,70,40,0.00842697
3.374826099800001,69,41,0.00850394
3.3716889903999983,68,42,0.00857687
3.3752032933,67,43,0.00864553
3.3626309985000002,66,44,0.00870968
3.3801214394000003,65,45,0.00876908
3.376161458199998,64,46,0.00882353
3.3776350070000003,63,47,0.00887282
3.3601982506000003,62,48,0.00891678
3.374181336499999,61,49,0.00895522
3.3690120702000006,60,50,0.00898802
3.3761549471,59,51,0.00901503
3.3793515293999996,58,52,0.00903614
3.3700416991999997,57,53,0.00905129
3.3763526462,56,54,0.0090604
3.3842647407999995,55,55,0.00906344
