network,transitivity,degree_assortativity,xswap,average_hx
CKM physicians,0.029804,0.008286104,yes,3.082700453
Dolphins,0.105889,-0.029914482,yes,3.139057258
Email Spain,0.028154,-0.022295993,yes,3.285337098
Freeman's EIES,0.741083667,-0.122867783,yes,3.205022944
Golden Age,0.467545333,-0.111146358,yes,3.231723797
Kapferer tailor,0.294747333,-0.126496359,yes,3.146876337
Les Miserables,0.200206333,-0.137637753,yes,3.166744597
Hollywood music,0.422042,-0.181448807,yes,3.171501896
Sampson's monastery,0.401357,-0.133688226,yes,3.083021986
Terrorist,0.142014333,-0.133586723,yes,3.119258375
CKM physicians,0.162287481,0.107731725,no,3.059322235
Dolphins,0.308775731,-0.043594028,no,3.106961032
Email Spain,0.166250065,0.078298769,no,3.26570029
Freeman's EIES,0.82034653,-0.150956839,no,3.207340352
Golden Age,0.529939431,-0.067103725,no,3.239969612
Kapferer tailor,0.385057471,-0.18269137,no,3.150758086
Les Miserables,0.498931624,-0.165225134,no,3.12015345
Hollywood music,0.559060187,-0.081999718,no,3.175887678
Sampson's monastery,0.450842697,-0.109210422,no,3.08474468
Terrorist,0.360881543,-0.080475662,no,3.078841022
