network,nodes,edges,density,average_degree,max_degree,min_degree,degree_assortativity,transitivity,average_clustering,ASPL,average_hx,average_hxsquared,average_ECC,count
CKM physicians,110.0,241.0,0.04020016680567148,4.381818181818201,10.023333333333333,1.0,0.06032660011564648,0.12038984532783521,0.11688237368691913,3.46508034473172,3.2609677815018685,10.640615147244555,0.2016353702044198,118286.0
Dolphins,62.0,198.0,0.10470650449497669,6.387096774193592,13.596666666666666,1.0833333333333333,-0.03171930292219117,0.25133855397392385,0.23069420424259135,2.544038427639697,3.2933645911255995,10.85127785808841,0.34241446138181514,102141.0
Email Spain,1133.0,6815.0,0.010627216277495858,12.030008826125263,73.35,1.0,0.13084932995776008,0.13237742621427878,0.12805527934005087,3.2199950671419684,3.339306199885401,11.154765242888436,0.22000974714830798,300611.0
Freeman's EIES,34.0,518.0,0.9233511586452827,30.470588235293896,33.0,24.34,-0.08004024047680672,0.9287565009613679,0.9297793803588561,1.0766488413547164,3.347853600364963,11.210768849196077,0.9663268925353927,310800.0
Golden Age,55.0,767.0,0.5164983164983148,27.890909090909172,45.37,11.013333333333334,-0.025829936517915576,0.560820900397253,0.5702340205901412,1.5175712682379388,3.3542773771120813,11.253862656316004,0.717034421494343,337205.0
Kapferer tailor,39.0,197.0,0.26585695006747445,10.10256410256409,25.013333333333332,2.1533333333333333,-0.12203865286308918,0.38066595372718365,0.41400393699692634,1.8252901484480435,3.318468266696624,11.015781451637498,0.5065282957079155,114816.0
Les Miserables,77.0,317.0,0.1083390293916613,8.2337662337663,36.86,1.0533333333333332,-0.0836915485004317,0.41545114326488136,0.43555404644391776,2.3602665755297347,3.309630447296012,10.958808392062931,0.6618020152508862,159335.0
Hollywood music,39.0,273.0,0.36842105263157826,14.0,27.8,4.416666666666667,-0.028794653118992847,0.5324889846376509,0.5460733996299615,1.6568870895186703,3.326641291292604,11.069533788809487,0.6662998467192371,162447.0
Sampson's monastery,25.0,117.0,0.3900000000000005,9.360000000000003,15.386666666666667,4.66,-0.09465852866058222,0.45766114912897043,0.48262231372113745,1.6392222222222192,3.308835725512393,10.951531079015878,0.5560895042735045,70200.0
Terrorist,62.0,190.0,0.10047593865679592,6.129032258064563,22.77,1.0333333333333334,-0.03775023983579483,0.30230072821853965,0.35408244819800466,2.545831129913626,3.2889033908122864,10.82296482523113,0.5261255900240202,97835.0
