network,nodes,edges,density,average_degree,max_degree,min_degree,degree_assortativity,transitivity,average_clustering,ASPL,average_hx,average_hxsquared,average_ECC,count
CKM physicians,110.0,193.0,0.03219349457881568,3.5090909090909093,9.0,1.0,0.10773172484211317,0.16228748068006182,0.1466883116883117,4.240033361134278,3.232274202662609,10.456824049928922,0.27348704663212337,115800.0
Dolphins,62.0,159.0,0.08408249603384453,5.129032258064516,12.0,1.0,-0.04359402821531252,0.3087757313109426,0.25895824605502027,3.3569539925965097,3.2721997969756806,10.715668052094268,0.4276905660377347,95400.0
Email Spain,1133.0,5452.0,0.0085017730219967,9.624007060900265,71.0,1.0,0.0782987692548041,0.16625006482393817,0.2201760865041161,3.606032017315423,3.3244704559537834,11.059085401186307,0.3038189773284134,299979.0
Freeman's EIES,34.0,415.0,0.7397504456327986,24.41176470588235,33.0,9.0,-0.15095683882084168,0.8203465298615816,0.8430922328097485,1.2602495543672014,3.344758108065058,11.19018026999586,0.927514698795184,249000.0
Golden Age,55.0,614.0,0.4134680134680135,22.327272727272728,43.0,4.0,-0.06710372532118264,0.5299394311124741,0.5712524600617034,1.6397306397306397,3.34903832895503,11.218972192587225,0.7444723372858294,287329.0
Kapferer tailor,39.0,158.0,0.21322537112010798,8.102564102564102,24.0,1.0,-0.18269136963096438,0.3850574712643678,0.4580302713295041,2.0431848852901484,3.301031423150738,10.902082804409304,0.5825069620253184,94800.0
Les Miserables,77.0,254.0,0.08680792891319207,6.597402597402597,36.0,1.0,-0.16522513442236916,0.49893162393162394,0.5731367499320135,2.6411483253588517,3.2876288315739495,10.81838406976824,0.8403240157480353,152400.0
Hollywood music,39.0,219.0,0.29554655870445345,11.23076923076923,26.0,2.0,-0.08199971825846754,0.5590601866752495,0.6576999819291465,1.8623481781376519,3.317830488190035,11.01191719168678,0.7812561643835578,131400.0
Sampson's monastery,25.0,94.0,0.31333333333333335,7.52,14.0,3.0,-0.10921042211135026,0.4508426966292135,0.5139773559773559,1.84,3.2935867018290774,10.851500832042856,0.5941670212765924,56400.0
Terrorist,62.0,152.0,0.08038075092543628,4.903225806451613,22.0,1.0,-0.08047566178575724,0.3608815426997245,0.486371555916148,2.9455314648334214,3.263029729619405,10.657569158985728,0.7113750000000039,91200.0
