network,nodes,edges,density,average_degree,max_degree,min_degree,degree_assortativity,transitivity,average_clustering,ASPL,average_hx,average_hxsquared,average_ECC,count
CKM physicians,110,241,0.040200167,4.381818182,11.52,1,0.054245896,0.251526045,0.336933219,3.734920211,3.093576634,9.594961966,0.373947024,115800
Dolphins,62,198,0.104706504,6.387096774,15.44666667,1,-0.06524815,0.357450061,0.427429391,2.926106117,3.127159085,9.798009435,0.509934325,95400
Email Spain,1133,6815,0.010627216,12.03000883,82.02666667,1,0.039232002,0.171236384,0.364240991,3.30785993,3.280477111,10.77541953,0.35512348,150000
Freeman's EIES,34,518,0.923351159,30.47058824,33,21.47666667,-0.097895585,0.933374809,0.935287214,1.076648841,3.21858504,10.36637778,0.97870632,150000
Golden Age,55,767,0.516498316,27.89090909,47.21333333,5.06,-0.074059665,0.606178161,0.647190393,1.522783389,3.252945591,10.58785372,0.745758077,150000
Kapferer tailor,39,197,0.26585695,10.1025641,27.20666667,1.063333333,-0.189199111,0.447592071,0.550166725,1.876108862,3.160436137,9.999970859,0.652161489,94800
Les Miserables,77,317,0.108339029,8.233766234,42.04,1,-0.160058661,0.467390229,0.663541827,2.407452723,3.156290836,9.982214191,0.815237139,150000
Hollywood music,39,273,0.368421053,14,30.51,3.08,-0.105654182,0.590234753,0.692201361,1.679032839,3.1848722,10.1530647,0.814120263,131400
Sampson's monastery,25,117,0.39,9.36,17.14666667,3.91,-0.115088165,0.526390506,0.603269942,1.674288889,3.107625531,9.668120411,0.744272183,42600
Terrorist,62,190,0.100475939,6.129032258,25.9,1,-0.095196029,0.388223661,0.567046479,2.714701216,3.112819748,9.71288627,0.710283274,91200
