network,hx,ASPL,density,transitivity,assortativity,average_degree,average_clustering,hx_abv,hx_blw
CKM physicians,3.388132875105503,4.240033361134278,0.03219349457881568,0.16228748068006182,0.10773172484211317,3.5090909090909093,0.1466883116883117,3.387417442230299,3.388405643486612
Dolphins,3.374724078492491,3.3569539925965097,0.08408249603384453,0.3087757313109426,-0.04359402821531252,5.129032258064516,0.25895824605502027,3.374661231751209,3.3747167662554656
Email Spain,3.3867052184888498,3.606032017315423,0.0085017730219967,0.16625006482393817,0.0782987692548041,9.624007060900265,0.2201760865041161,3.3868035864044663,3.386726692407648
Freeman's EIES,3.351943026086704,1.2602495543672014,0.7397504456327986,0.8203465298615816,-0.15095683882084168,24.41176470588235,0.8430922328097485,3.352007341320166,3.3518858569906373
Golden Age,3.3671186981015206,1.6397306397306397,0.4134680134680135,0.5299394311124741,-0.06710372532118264,22.327272727272728,0.5712524600617034,3.366662379901413,3.367479265178952
Kapferer tailor,3.3574143472445486,2.0431848852901484,0.21322537112010798,0.3850574712643678,-0.18269136963096438,8.102564102564102,0.4580302713295041,3.356297827082024,3.3582771128247266
Les Miserables,3.374381784734423,2.6411483253588517,0.08680792891319207,0.49893162393162394,-0.16522513442236916,6.597402597402597,0.5731367499320135,3.3754761447118136,3.3728694911231134
Hollywood music,3.357558063564463,1.8623481781376519,0.29554655870445345,0.5590601866752495,-0.08199971825846754,11.23076923076923,0.6576999819291465,3.357394112398388,3.357713817171378
Sampson's monastery,3.3473714724104657,1.84,0.31333333333333335,0.4508426966292135,-0.10921042211135026,7.52,0.5139773559773559,3.347179710509402,3.3475484833961304
Terrorist,3.3752968875339016,2.9455314648334214,0.08038075092543628,0.3608815426997245,-0.08047566178575724,4.903225806451613,0.486371555916148,3.3754802168293017,3.3749686161627963
