network,nodes,edges,density,average_degree,max_degree,min_degree,degree_assortativity,transitivity,average_clustering,ASPL,average_hx,average_hxsquared,average_ECC,count,diameter,Q
CKM physicians,110,193,0.032193495,3.509090909,9,1,0.107731725,0.162287481,0.146688312,4.240033361,3.232274203,10.45682405,0.273487047,115800,9,0.605452495
Dolphins,62,159,0.084082496,5.129032258,12,1,-0.043594028,0.308775731,0.258958246,3.356953993,3.272199797,10.71566805,0.427690566,95400,8,0.518828369
Email Spain,1133,5452,0.008501773,9.624007061,71,1,0.078298769,0.166250065,0.220176087,3.606032017,3.324470456,11.0590854,0.303818977,299979,8,0.568608015
Freeman's EIES,34,415,0.739750446,24.41176471,33,9,-0.150956839,0.82034653,0.843092233,1.260249554,3.344758108,11.19018027,0.927514699,249000,2,0.065550878
Golden Age,55,614,0.413468013,22.32727273,43,4,-0.067103725,0.529939431,0.57125246,1.63973064,3.349038329,11.21897219,0.744472337,287329,3,0.449425645
Kapferer tailor,39,158,0.213225371,8.102564103,24,1,-0.18269137,0.385057471,0.458030271,2.043184885,3.301031423,10.9020828,0.582506962,94800,4,0.318999359
Les Miserables,77,254,0.086807929,6.597402597,36,1,-0.165225134,0.498931624,0.57313675,2.641148325,3.287628832,10.81838407,0.840324016,152400,5,0.552738855
Hollywood music,39,219,0.295546559,11.23076923,26,2,-0.081999718,0.559060187,0.657699982,1.862348178,3.317830488,11.01191719,0.781256164,131400,5,0.197045516
Sampson's monastery,25,94,0.313333333,7.52,14,3,-0.109210422,0.450842697,0.513977356,1.84,3.293586702,10.85150083,0.594167021,56400,4,0.300362155
Terrorist,62,152,0.080380751,4.903225806,22,1,-0.080475662,0.360881543,0.486371556,2.945531465,3.26302973,10.65756916,0.711375,91200,5,0.517291378
