network,transitivity,average_clustering,diameter,ASPL,Q,average_hx,average_hxsquared,count,degree_assortativity
CKM physicians,0.029804,0.025457,8.68,3.919404667,0.52509,3.23488613,10.47507537,115300,0.008286104
Dolphins,0.105889,0.092789333,5.82,2.739921,0.364498333,3.272548862,10.72161937,94295,-0.029914482
Email Spain,0.028116,0.024936,7.393333333,3.313790667,0.282715333,3.327193047,11.07747278,150000,-0.022295993
Freeman's EIES,0.741083667,0.755479333,2.006666667,1.315787667,0.061442333,3.328166662,11.08977091,150000,-0.122867783
Golden Age,0.467545333,0.493083333,3.003333333,1.648356667,0.120361667,3.338297313,11.15293882,150000,-0.111146358
Kapferer tailor,0.294747333,0.301481333,4.14,2.023703667,0.222035667,3.294877556,10.86911051,92368,-0.126496359
Les Miserables,0.200206333,0.198415,5.363333333,2.542898333,0.288795,3.290906897,10.84431518,149850,-0.137637753
Hollywood music,0.422042,0.491785,3.08,1.793569333,0.162334,3.308991554,10.96179242,127590,-0.181448807
Sampson's monastery,0.401357,0.408216,2.823333333,1.593357333,0.170492333,3.274737985,10.73976945,39901,-0.133688226
Terrorist,0.142014333,0.144204667,5.84,2.714056333,0.359023,3.264500694,10.67155945,89822,-0.133586723
