network,transitivity,average_clustering,average_hx,average_hxsquared,count
CKM physicians,0.030052,0.02644066666666667,3.23527247390622,10.47752113606605,115357.0
Dolphins,0.10955833333333335,0.09493066666666665,3.2726120001742416,10.721551647761151,94582.0
Email Spain,0.028878333333333353,0.025441333333333347,3.327421784105596,11.07882796888971,150000.0
Freeman's EIES,0.7603520000000005,0.7744603333333335,3.3284091217146683,11.0913950651476,150000.0
Golden Age,0.46998566666666636,0.4956486666666665,3.337688417094333,11.148800147939484,150000.0
Kapferer tailor,0.29681099999999994,0.3079529999999999,3.2957196364809134,10.873849645243759,93152.0
Les Miserables,0.20197100000000007,0.1955653333333333,3.291647896153467,10.848821590785914,149974.0
Hollywood music,0.4265096666666666,0.4986176666666665,3.3086385968116176,10.95923080953713,128689.0
Sampson's monastery,0.4164599999999999,0.42488733333333334,3.2751707348155987,10.742439891900938,41052.0
Terrorist,0.14416333333333328,0.14460566666666666,3.264623239075049,10.671785853819905,90167.0
