network,transitivity,degree_assortativity,xswap,average_hx
CKM physicians,0.029804,0.008286104,yes,3.23488613
Dolphins,0.105889,-0.029914482,yes,3.272548862
Freeman's EIES,0.741083667,-0.122867783,yes,3.328166662
Golden Age,0.467545333,-0.111146358,yes,3.338297313
Kapferer tailor,0.294747333,-0.126496359,yes,3.294877556
Les Miserables,0.200206333,-0.137637753,yes,3.290906897
Hollywood music,0.422042,-0.181448807,yes,3.308991554
Sampson's monastery,0.401357,-0.133688226,yes,3.274737985
Terrorist,0.142014333,-0.133586723,yes,3.264500694
CKM physicians,0.162287481,0.107731725,no,3.232274203
Dolphins,0.308775731,-0.043594028,no,3.272199797
Freeman's EIES,0.82034653,-0.150956839,no,3.344758108
Golden Age,0.529939431,-0.067103725,no,3.349038329
Kapferer tailor,0.385057471,-0.18269137,no,3.301031423
Les Miserables,0.498931624,-0.165225134,no,3.287628832
Hollywood music,0.559060187,-0.081999718,no,3.317830488
Sampson's monastery,0.450842697,-0.109210422,no,3.293586702
Terrorist,0.360881543,-0.080475662,no,3.26302973
