alter ego quoteProb
9 4 0.33333333
9 21 0.11111111
9 29 0.20000000
9 38 0.09090909
9 46 0.09090909
9 60 0.20000000
4 9 0.16666667
4 15 0.08333333
4 60 0.20000000
10 6 0.25000000
10 7 0.16666667
10 14 0.12500000
10 18 0.11111111
10 33 0.33333333
10 42 0.20000000
10 58 0.11111111
6 10 0.14285714
6 14 0.12500000
6 57 0.50000000
6 58 0.11111111
7 10 0.14285714
7 14 0.12500000
7 18 0.11111111
7 55 0.14285714
7 57 0.50000000
7 58 0.11111111
1 11 0.20000000
1 15 0.08333333
1 16 0.14285714
1 41 0.12500000
1 43 0.16666667
1 48 0.16666667
11 1 0.16666667
11 3 0.25000000
11 30 0.11111111
11 43 0.16666667
11 48 0.16666667
3 11 0.20000000
3 43 0.16666667
3 45 0.25000000
3 62 0.33333333
14 6 0.25000000
14 7 0.16666667
14 10 0.14285714
14 18 0.11111111
14 33 0.33333333
14 42 0.20000000
14 55 0.14285714
14 58 0.11111111
15 1 0.16666667
15 4 0.33333333
15 17 0.16666667
15 25 0.16666667
15 34 0.10000000
15 35 0.20000000
15 38 0.09090909
15 39 0.12500000
15 41 0.12500000
15 44 0.14285714
15 51 0.14285714
15 53 0.25000000
16 1 0.16666667
16 19 0.14285714
16 25 0.16666667
16 41 0.12500000
16 46 0.09090909
16 56 0.50000000
16 60 0.20000000
17 15 0.08333333
17 21 0.11111111
17 34 0.10000000
17 38 0.09090909
17 39 0.12500000
17 51 0.14285714
18 2 0.12500000
18 7 0.16666667
18 10 0.14285714
18 14 0.12500000
18 23 1.00000000
18 26 0.33333333
18 28 0.20000000
18 32 1.00000000
18 58 0.11111111
2 18 0.11111111
2 20 0.25000000
2 27 0.33333333
2 28 0.20000000
2 29 0.20000000
2 37 0.14285714
2 42 0.20000000
2 55 0.14285714
19 16 0.14285714
19 21 0.11111111
19 22 0.16666667
19 25 0.16666667
19 30 0.11111111
19 46 0.09090909
19 52 0.10000000
20 2 0.12500000
20 8 0.20000000
20 31 0.20000000
20 55 0.14285714
8 20 0.25000000
8 28 0.20000000
8 31 0.20000000
8 41 0.12500000
8 55 0.14285714
21 9 0.16666667
21 17 0.16666667
21 19 0.14285714
21 29 0.20000000
21 37 0.14285714
21 39 0.12500000
21 45 0.25000000
21 48 0.16666667
21 51 0.14285714
22 19 0.14285714
22 30 0.11111111
22 34 0.10000000
22 38 0.09090909
22 46 0.09090909
22 52 0.10000000
23 18 0.11111111
25 15 0.08333333
25 16 0.14285714
25 19 0.14285714
25 30 0.11111111
25 46 0.09090909
25 52 0.10000000
26 18 0.11111111
26 27 0.33333333
26 28 0.20000000
27 2 0.12500000
27 26 0.33333333
27 28 0.20000000
28 2 0.12500000
28 8 0.20000000
28 18 0.11111111
28 26 0.33333333
28 27 0.33333333
29 2 0.12500000
29 9 0.16666667
29 21 0.11111111
29 31 0.20000000
29 48 0.16666667
30 11 0.20000000
30 19 0.14285714
30 22 0.16666667
30 25 0.16666667
30 36 1.00000000
30 44 0.14285714
30 46 0.09090909
30 52 0.10000000
30 53 0.25000000
31 8 0.20000000
31 20 0.25000000
31 29 0.20000000
31 43 0.16666667
31 48 0.16666667
32 18 0.11111111
33 10 0.14285714
33 14 0.12500000
33 61 1.00000000
34 13 1.00000000
34 15 0.08333333
34 17 0.16666667
34 22 0.16666667
34 35 0.20000000
34 38 0.09090909
34 39 0.12500000
34 41 0.12500000
34 44 0.14285714
34 51 0.14285714
13 34 0.10000000
35 15 0.08333333
35 34 0.10000000
35 38 0.09090909
35 45 0.25000000
35 50 0.50000000
36 30 0.11111111
37 2 0.12500000
37 21 0.11111111
37 24 0.33333333
37 38 0.09090909
37 40 0.50000000
37 41 0.12500000
37 60 0.20000000
24 37 0.14285714
24 46 0.09090909
24 52 0.10000000
38 9 0.16666667
38 15 0.08333333
38 17 0.16666667
38 22 0.16666667
38 34 0.10000000
38 35 0.20000000
38 37 0.14285714
38 41 0.12500000
38 44 0.14285714
38 46 0.09090909
38 62 0.33333333
39 15 0.08333333
39 17 0.16666667
39 21 0.11111111
39 34 0.10000000
39 44 0.14285714
39 45 0.25000000
39 53 0.25000000
39 59 1.00000000
40 37 0.14285714
40 58 0.11111111
41 1 0.16666667
41 8 0.20000000
41 15 0.08333333
41 16 0.14285714
41 34 0.10000000
41 37 0.14285714
41 38 0.09090909
41 53 0.25000000
42 2 0.12500000
42 10 0.14285714
42 14 0.12500000
42 55 0.14285714
42 58 0.11111111
43 1 0.16666667
43 3 0.25000000
43 11 0.20000000
43 31 0.20000000
43 48 0.16666667
43 51 0.14285714
44 15 0.08333333
44 30 0.11111111
44 34 0.10000000
44 38 0.09090909
44 39 0.12500000
44 47 0.50000000
44 54 0.50000000
45 3 0.25000000
45 21 0.11111111
45 35 0.20000000
