alter ego quoteProb
63 64 0.16666667
63 65 0.14285714
63 66 0.25000000
63 67 0.25000000
63 68 0.16666667
63 70 0.25000000
63 74 0.25000000
63 79 0.04347826
63 80 0.05882353
63 81 0.03846154
63 82 0.05263158
63 83 0.09090909
63 85 0.07142857
63 87 0.04166667
63 88 0.12500000
63 90 0.05882353
63 91 0.07692308
63 92 0.05263158
63 93 0.05882353
63 94 0.07692308
63 95 0.05882353
63 96 0.06250000
63 97 0.07692308
63 98 0.11111111
63 99 0.07142857
63 102 0.33333333
64 63 0.03846154
64 65 0.14285714
64 97 0.07692308
64 79 0.04347826
64 88 0.12500000
64 91 0.07692308
65 63 0.03846154
65 64 0.16666667
65 66 0.25000000
65 67 0.25000000
65 68 0.16666667
65 69 0.33333333
65 82 0.05263158
66 63 0.03846154
66 65 0.14285714
66 68 0.16666667
66 69 0.33333333
67 63 0.03846154
67 65 0.14285714
67 82 0.05263158
67 68 0.16666667
68 63 0.03846154
68 65 0.14285714
68 66 0.25000000
68 67 0.25000000
68 69 0.33333333
68 82 0.05263158
69 65 0.14285714
69 66 0.25000000
69 68 0.16666667
70 63 0.03846154
70 73 0.10000000
70 76 0.33333333
70 87 0.04166667
71 100 0.09090909
71 102 0.33333333
71 81 0.03846154
71 84 0.08333333
71 90 0.05882353
71 92 0.05263158
72 73 0.10000000
72 75 0.12500000
73 70 0.25000000
73 72 0.50000000
73 76 0.33333333
73 81 0.03846154
73 87 0.04166667
73 92 0.05263158
73 94 0.07692308
73 95 0.05882353
73 96 0.06250000
73 97 0.07692308
74 63 0.03846154
74 81 0.03846154
74 75 0.12500000
74 87 0.04166667
75 72 0.50000000
75 74 0.25000000
75 79 0.04347826
75 81 0.03846154
75 84 0.08333333
75 85 0.07142857
75 87 0.04166667
75 93 0.05882353
76 70 0.25000000
76 73 0.10000000
76 87 0.04166667
77 96 0.06250000
77 100 0.09090909
77 79 0.04347826
77 81 0.03846154
77 91 0.07692308
77 93 0.05882353
79 63 0.03846154
79 64 0.16666667
79 75 0.12500000
79 77 0.16666667
79 80 0.05882353
79 81 0.03846154
79 82 0.05263158
79 83 0.09090909
79 84 0.08333333
79 85 0.07142857
79 86 0.14285714
79 87 0.04166667
79 88 0.12500000
79 89 0.11111111
79 90 0.05882353
79 91 0.07692308
79 92 0.05263158
79 93 0.05882353
79 95 0.05882353
79 96 0.06250000
79 98 0.11111111
79 99 0.07142857
79 100 0.09090909
80 63 0.03846154
80 79 0.04347826
80 81 0.03846154
80 82 0.05263158
80 83 0.09090909
80 84 0.08333333
80 85 0.07142857
80 87 0.04166667
80 88 0.12500000
80 90 0.05882353
80 92 0.05263158
80 94 0.07692308
80 95 0.05882353
80 96 0.06250000
80 97 0.07692308
80 99 0.07142857
80 100 0.09090909
81 63 0.03846154
81 71 0.16666667
81 73 0.10000000
81 74 0.25000000
81 75 0.12500000
81 77 0.16666667
81 79 0.04347826
81 80 0.05882353
81 82 0.05263158
81 83 0.09090909
81 84 0.08333333
81 85 0.07142857
81 86 0.14285714
81 87 0.04166667
81 89 0.11111111
81 90 0.05882353
81 91 0.07692308
81 92 0.05263158
81 93 0.05882353
81 94 0.07692308
81 95 0.05882353
81 96 0.06250000
81 97 0.07692308
81 99 0.07142857
81 100 0.09090909
81 101 0.14285714
82 63 0.03846154
82 65 0.14285714
82 67 0.25000000
82 68 0.16666667
82 79 0.04347826
82 80 0.05882353
82 81 0.03846154
82 83 0.09090909
82 85 0.07142857
82 86 0.14285714
82 87 0.04166667
82 88 0.12500000
82 89 0.11111111
82 90 0.05882353
82 92 0.05263158
82 93 0.05882353
82 94 0.07692308
82 95 0.05882353
82 99 0.07142857
83 63 0.03846154
83 79 0.04347826
83 80 0.05882353
83 81 0.03846154
83 82 0.05263158
83 85 0.07142857
83 87 0.04166667
83 88 0.12500000
83 90 0.05882353
83 94 0.07692308
83 99 0.07142857
84 71 0.16666667
84 75 0.12500000
84 79 0.04347826
84 80 0.05882353
84 81 0.03846154
84 85 0.07142857
84 87 0.04166667
84 90 0.05882353
84 91 0.07692308
84 93 0.05882353
84 99 0.07142857
84 100 0.09090909
85 63 0.03846154
85 75 0.12500000
85 79 0.04347826
85 80 0.05882353
85 81 0.03846154
85 82 0.05263158
85 83 0.09090909
85 84 0.08333333
85 87 0.04166667
85 89 0.11111111
85 91 0.07692308
85 93 0.05882353
85 94 0.07692308
85 99 0.07142857
86 79 0.04347826
86 81 0.03846154
86 82 0.05263158
86 89 0.11111111
86 90 0.05882353
86 92 0.05263158
86 95 0.05882353
87 63 0.03846154
87 70 0.25000000
87 73 0.10000000
87 74 0.25000000
87 75 0.12500000
87 76 0.33333333
87 79 0.04347826
87 80 0.05882353
87 81 0.03846154
87 82 0.05263158
87 83 0.09090909
87 84 0.08333333
87 85 0.07142857
87 88 0.12500000
87 90 0.05882353
87 92 0.05263158
87 93 0.05882353
87 94 0.07692308
87 95 0.05882353
87 96 0.06250000
87 97 0.07692308
87 98 0.11111111
87 99 0.07142857
87 101 0.14285714
88 63 0.03846154
88 64 0.16666667
88 79 0.04347826
88 80 0.05882353
88 82 0.05263158
88 83 0.09090909
88 87 0.04166667
88 90 0.05882353
89 79 0.04347826
89 81 0.03846154
89 82 0.05263158
89 85 0.07142857
89 86 0.14285714
89 90 0.05882353
89 91 0.07692308
89 92 0.05263158
89 95 0.05882353
90 63 0.03846154
90 71 0.16666667
90 79 0.04347826
90 80 0.05882353
90 81 0.03846154
90 82 0.05263158
90 83 0.09090909
90 84 0.08333333
90 86 0.14285714
90 87 0.04166667
90 88 0.12500000
90 89 0.11111111
90 91 0.07692308
90 92 0.05263158
90 95 0.05882353
90 99 0.07142857
90 100 0.09090909
91 63 0.03846154
91 64 0.16666667
91 77 0.16666667
91 79 0.04347826
91 81 0.03846154
91 84 0.08333333
91 85 0.07142857
91 89 0.11111111
91 90 0.05882353
91 93 0.05882353
91 95 0.05882353
91 96 0.06250000
91 100 0.09090909
92 63 0.03846154
92 71 0.16666667
92 73 0.10000000
92 79 0.04347826
92 80 0.05882353
92 81 0.03846154
92 82 0.05263158
92 86 0.14285714
92 87 0.04166667
92 89 0.11111111
92 90 0.05882353
92 93 0.05882353
92 94 0.07692308
92 95 0.05882353
92 96 0.06250000
92 97 0.07692308
92 98 0.11111111
92 100 0.09090909
92 101 0.14285714
93 63 0.03846154
93 75 0.12500000
93 77 0.16666667
93 79 0.04347826
93 81 0.03846154
93 82 0.05263158
93 84 0.08333333
93 85 0.07142857
93 87 0.04166667
93 91 0.07692308
93 92 0.05263158
93 94 0.07692308
93 95 0.05882353
93 96 0.06250000
93 98 0.11111111
93 100 0.09090909
93 101 0.14285714
94 63 0.03846154
94 73 0.10000000
94 80 0.05882353
94 81 0.03846154
94 82 0.05263158
94 83 0.09090909
94 85 0.07142857
94 87 0.04166667
94 92 0.05263158
94 93 0.05882353
94 95 0.05882353
94 96 0.06250000
94 97 0.07692308
95 63 0.03846154
95 73 0.10000000
95 79 0.04347826
95 80 0.05882353
95 81 0.03846154
95 82 0.05263158
95 86 0.14285714
95 87 0.04166667
95 89 0.11111111
95 90 0.05882353
95 91 0.07692308
95 92 0.05263158
95 93 0.05882353
95 94 0.07692308
95 96 0.06250000
95 97 0.07692308
95 102 0.33333333
96 63 0.03846154
96 73 0.10000000
96 77 0.16666667
96 79 0.04347826
96 80 0.05882353
96 81 0.03846154
96 87 0.04166667
96 91 0.07692308
96 92 0.05263158
96 93 0.05882353
96 94 0.07692308
96 95 0.05882353
96 97 0.07692308
96 98 0.11111111
96 99 0.07142857
96 100 0.09090909
97 63 0.03846154
97 64 0.16666667
97 73 0.10000000
97 80 0.05882353
97 81 0.03846154
97 87 0.04166667
97 92 0.05263158
97 94 0.07692308
97 95 0.05882353
97 96 0.06250000
97 98 0.11111111
97 99 0.07142857
97 101 0.14285714
98 63 0.03846154
98 79 0.04347826
98 87 0.04166667
98 92 0.05263158
98 93 0.05882353
98 96 0.06250000
98 97 0.07692308
98 99 0.07142857
98 101 0.14285714
99 63 0.03846154
99 79 0.04347826
99 80 0.05882353
99 81 0.03846154
99 82 0.05263158
99 83 0.09090909
99 84 0.08333333
99 85 0.07142857
99 87 0.04166667
99 90 0.05882353
99 96 0.06250000
99 97 0.07692308
99 98 0.11111111
99 101 0.14285714
100 71 0.16666667
100 77 0.16666667
100 79 0.04347826
100 80 0.05882353
100 81 0.03846154
100 84 0.08333333
100 90 0.05882353
100 91 0.07692308
100 92 0.05263158
100 93 0.05882353
100 96 0.06250000
101 81 0.03846154
101 87 0.04166667
101 92 0.05263158
101 93 0.05882353
101 97 0.07692308
101 98 0.11111111
101 99 0.07142857
102 63 0.03846154
102 71 0.16666667
102 95 0.05882353
