alter ego quoteProb
0 1 1.00000000
0 2 0.33333333
0 3 0.33333333
0 4 1.00000000
0 5 1.00000000
0 6 1.00000000
0 7 1.00000000
0 8 1.00000000
0 9 1.00000000
0 10 0.02777778
1 0 0.10000000
2 0 0.10000000
2 3 0.33333333
2 10 0.02777778
3 0 0.10000000
3 2 0.33333333
3 10 0.02777778
4 0 0.10000000
5 0 0.10000000
6 0 0.10000000
7 0 0.10000000
8 0 0.10000000
9 0 0.10000000
10 0 0.10000000
10 2 0.33333333
10 3 0.33333333
10 11 1.00000000
10 12 0.50000000
10 13 1.00000000
10 14 1.00000000
10 15 1.00000000
10 16 0.06666667
10 17 0.09090909
10 18 0.06250000
10 19 0.09090909
10 20 0.05882353
10 21 0.25000000
10 22 0.12500000
10 23 0.25000000
10 24 1.00000000
10 25 0.50000000
10 26 0.16666667
10 27 0.16666667
10 28 0.16666667
10 29 0.16666667
10 30 0.16666667
10 31 0.33333333
10 32 0.50000000
10 33 0.04545455
10 34 0.14285714
10 35 0.14285714
10 36 0.05263158
10 37 0.06666667
10 38 0.07692308
10 39 0.10000000
10 40 0.10000000
10 41 0.10000000
10 42 0.11111111
10 43 0.33333333
11 10 0.02777778
12 10 0.02777778
12 16 0.06666667
13 10 0.02777778
14 10 0.02777778
15 10 0.02777778
16 10 0.02777778
16 12 0.50000000
16 44 0.11111111
16 45 0.14285714
16 46 0.14285714
16 47 0.14285714
16 48 0.14285714
16 49 0.14285714
16 50 0.14285714
16 17 0.09090909
16 18 0.06250000
16 20 0.05882353
16 22 0.12500000
16 51 0.50000000
16 23 0.25000000
17 10 0.02777778
17 16 0.06666667
17 18 0.06250000
17 19 0.09090909
17 20 0.05882353
17 52 0.09090909
17 53 0.33333333
17 54 0.50000000
17 39 0.10000000
17 40 0.10000000
17 41 0.10000000
18 10 0.02777778
18 16 0.06666667
18 17 0.09090909
18 19 0.09090909
18 20 0.05882353
18 55 0.33333333
18 56 1.00000000
18 52 0.09090909
18 53 0.33333333
18 33 0.04545455
18 36 0.05263158
18 39 0.10000000
18 40 0.10000000
18 41 0.10000000
18 42 0.11111111
18 57 0.14285714
19 10 0.02777778
19 17 0.09090909
19 18 0.06250000
19 44 0.11111111
19 20 0.05882353
19 31 0.33333333
19 34 0.14285714
19 35 0.14285714
19 58 0.25000000
19 36 0.05263158
19 43 0.33333333
20 10 0.02777778
20 16 0.06666667
20 17 0.09090909
20 18 0.06250000
20 19 0.09090909
20 21 0.25000000
20 22 0.12500000
20 23 0.25000000
20 25 0.50000000
20 31 0.33333333
20 33 0.04545455
20 37 0.06666667
20 39 0.10000000
20 40 0.10000000
20 41 0.10000000
20 42 0.11111111
20 43 0.33333333
21 10 0.02777778
21 20 0.05882353
21 32 0.50000000
21 59 1.00000000
22 10 0.02777778
22 16 0.06666667
22 20 0.05882353
22 26 0.16666667
22 27 0.16666667
22 28 0.16666667
22 29 0.16666667
22 30 0.16666667
23 10 0.02777778
23 16 0.06666667
23 20 0.05882353
23 51 0.50000000
24 10 0.02777778
25 10 0.02777778
25 20 0.05882353
26 10 0.02777778
26 22 0.12500000
26 27 0.16666667
26 28 0.16666667
26 29 0.16666667
26 30 0.16666667
27 10 0.02777778
27 22 0.12500000
27 26 0.16666667
27 28 0.16666667
27 29 0.16666667
27 30 0.16666667
28 10 0.02777778
28 22 0.12500000
28 26 0.16666667
28 27 0.16666667
28 29 0.16666667
28 30 0.16666667
29 10 0.02777778
29 22 0.12500000
29 26 0.16666667
