alter ego quoteProb
6 7 0.10000000
6 8 0.20000000
6 11 0.07142857
6 15 0.09090909
6 19 0.11111111
6 21 0.16666667
6 12 0.12500000
6 13 0.09090909
6 22 0.14285714
6 23 0.14285714
6 25 0.16666667
7 6 0.09090909
7 13 0.09090909
7 19 0.11111111
7 21 0.16666667
7 22 0.14285714
7 8 0.20000000
7 15 0.09090909
7 23 0.14285714
7 24 0.25000000
7 25 0.16666667
8 6 0.09090909
8 7 0.10000000
8 20 0.16666667
8 24 0.25000000
8 25 0.16666667
11 6 0.09090909
11 10 0.11111111
11 16 0.07692308
11 18 0.14285714
11 20 0.16666667
11 5 0.12500000
11 12 0.12500000
11 17 0.14285714
11 22 0.14285714
11 3 0.25000000
11 4 0.20000000
11 9 0.20000000
11 14 0.20000000
11 19 0.11111111
15 6 0.09090909
15 13 0.09090909
15 7 0.10000000
15 10 0.11111111
15 12 0.12500000
15 16 0.07692308
15 17 0.14285714
15 1 0.14285714
15 5 0.12500000
15 9 0.20000000
15 18 0.14285714
19 6 0.09090909
19 7 0.10000000
19 13 0.09090909
19 16 0.07692308
19 17 0.14285714
19 21 0.16666667
19 22 0.14285714
19 23 0.14285714
19 11 0.07142857
21 6 0.09090909
21 7 0.10000000
21 17 0.14285714
21 18 0.14285714
21 19 0.11111111
21 22 0.14285714
13 7 0.10000000
13 6 0.09090909
13 15 0.09090909
13 19 0.11111111
13 23 0.14285714
13 1 0.14285714
13 5 0.12500000
13 9 0.20000000
13 20 0.16666667
13 22 0.14285714
13 25 0.16666667
22 7 0.10000000
22 21 0.16666667
22 6 0.09090909
22 11 0.07142857
22 13 0.09090909
22 19 0.11111111
22 23 0.14285714
20 8 0.20000000
20 11 0.07142857
20 17 0.14285714
20 13 0.09090909
20 25 0.16666667
20 24 0.25000000
24 8 0.20000000
24 7 0.10000000
24 20 0.16666667
24 25 0.16666667
25 8 0.20000000
25 20 0.16666667
25 24 0.25000000
25 6 0.09090909
25 7 0.10000000
25 13 0.09090909
10 11 0.07142857
10 12 0.12500000
10 17 0.14285714
10 18 0.14285714
10 1 0.14285714
10 5 0.12500000
10 15 0.09090909
10 2 0.33333333
10 16 0.07692308
12 10 0.11111111
12 6 0.09090909
12 11 0.07142857
12 16 0.07692308
12 18 0.14285714
12 2 0.33333333
12 4 0.20000000
12 15 0.09090909
17 10 0.11111111
17 15 0.09090909
17 11 0.07142857
17 16 0.07692308
17 19 0.11111111
17 20 0.16666667
17 21 0.16666667
18 10 0.11111111
18 11 0.07142857
18 12 0.12500000
18 16 0.07692308
18 15 0.09090909
18 21 0.16666667
18 23 0.14285714
1 10 0.11111111
1 13 0.09090909
1 15 0.09090909
1 16 0.07692308
1 3 0.25000000
1 5 0.12500000
1 14 0.20000000
5 10 0.11111111
5 11 0.07142857
5 13 0.09090909
5 15 0.09090909
5 3 0.25000000
5 16 0.07692308
5 1 0.14285714
5 14 0.20000000
16 11 0.07142857
16 12 0.12500000
16 15 0.09090909
16 18 0.14285714
16 19 0.11111111
16 23 0.14285714
16 3 0.25000000
16 14 0.20000000
16 17 0.14285714
16 1 0.14285714
16 4 0.20000000
16 5 0.12500000
16 10 0.11111111
2 12 0.12500000
2 10 0.11111111
2 9 0.20000000
4 12 0.12500000
4 11 0.07142857
4 16 0.07692308
4 14 0.20000000
4 9 0.20000000
23 13 0.09090909
23 16 0.07692308
23 18 0.14285714
23 6 0.09090909
23 7 0.10000000
23 19 0.11111111
23 22 0.14285714
9 13 0.09090909
9 15 0.09090909
9 2 0.33333333
9 11 0.07142857
9 4 0.20000000
3 16 0.07692308
3 11 0.07142857
3 1 0.14285714
3 5 0.12500000
14 16 0.07692308
14 4 0.20000000
14 11 0.07142857
14 1 0.14285714
14 5 0.12500000
