alter ego quoteProb
1 2 0.20000000
1 3 0.00561798
1 30 0.06250000
1 32 0.00483092
1 36 0.01123596
1 42 0.00564972
1 44 0.01369863
1 101 0.02040816
1 123 0.20000000
1 132 0.03225806
1 135 0.05000000
1 146 0.10000000
1 159 1.00000000
1 161 0.07692308
1 211 0.03333333
1 255 1.00000000
1 281 0.02325581
1 302 0.01785714
1 312 0.07692308
1 323 0.00961538
1 397 1.00000000
1 477 0.12500000
1 652 0.01515152
1 856 0.09090909
1 1014 0.05555556
1 1271 0.14285714
1 1312 0.03448276
1 1440 0.04545455
1 1626 0.16666667
1 1655 0.06666667
1 1675 0.07142857
1 1779 1.00000000
1 1790 1.00000000
1 194 0.00625000
1 313 0.05882353
2 1 0.02857143
2 3 0.00561798
2 5 1.00000000
2 400 0.00440529
2 1127 0.01515152
3 1 0.02857143
3 2 0.20000000
3 4 1.00000000
3 9 0.00414938
3 26 0.04545455
3 27 0.01960784
3 32 0.00483092
3 36 0.01123596
3 41 0.00546448
3 42 0.00564972
3 44 0.01369863
3 51 0.01886792
3 58 0.03571429
3 60 0.04545455
3 62 0.01785714
3 68 0.02500000
3 72 0.01298701
3 83 0.07692308
3 84 0.04545455
3 88 0.02941176
3 99 0.05882353
3 105 0.00440529
3 132 0.03225806
3 135 0.05000000
3 144 0.01098901
3 146 0.10000000
3 155 0.04761905
3 172 0.02777778
3 173 0.06666667
3 176 0.00826446
3 180 0.10000000
3 185 0.06666667
3 194 0.00625000
3 199 0.01515152
3 221 0.04347826
3 224 0.02857143
3 234 0.02941176
3 242 0.02272727
3 243 0.20000000
3 249 0.00581395
3 252 0.01818182
3 257 0.04347826
3 281 0.02325581
3 283 0.02439024
3 285 0.05263158
3 288 0.03703704
3 302 0.01785714
3 308 0.00943396
3 312 0.07692308
3 317 0.01666667
3 323 0.00961538
3 333 0.08333333
3 338 0.05555556
3 346 0.02380952
3 371 0.03571429
3 372 0.00684932
3 374 0.16666667
3 385 0.16666667
3 394 0.02777778
3 408 0.06666667
3 415 0.02631579
3 475 0.01136364
3 477 0.12500000
3 482 0.01298701
3 487 0.09090909
3 488 0.14285714
3 495 0.01515152
3 498 0.01818182
3 504 0.04347826
3 509 0.01639344
3 545 0.04761905
3 555 0.01587302
3 569 0.02777778
3 582 0.05263158
3 590 0.02173913
3 610 0.20000000
3 611 0.33333333
3 615 0.01612903
3 618 1.00000000
3 640 0.02631579
3 641 0.12500000
3 645 0.04347826
3 652 0.01515152
3 681 0.02040816
3 687 0.01408451
3 697 0.01162791
3 700 0.05882353
3 701 0.01886792
3 711 0.02083333
3 731 0.16666667
3 740 0.10000000
3 741 0.05555556
3 752 0.05000000
3 754 0.06250000
3 768 0.02222222
3 778 0.04761905
3 781 0.02500000
3 782 0.09090909
3 790 0.16666667
3 794 0.04347826
3 800 0.05000000
3 810 0.03448276
3 814 0.06250000
3 823 0.01587302
3 824 0.07142857
3 840 0.01075269
3 846 0.16666667
3 865 0.08333333
3 881 0.07142857
3 893 0.06666667
3 928 0.02272727
3 933 0.07692308
3 970 0.06666667
3 1042 0.02222222
3 1103 0.03030303
3 1110 0.10000000
3 1113 0.01449275
3 1117 0.04347826
3 1127 0.01515152
3 1154 0.16666667
3 1167 0.04000000
3 1180 0.11111111
3 1183 0.02941176
3 1185 0.01492537
3 1187 0.05555556
3 1189 0.01010101
3 1190 0.02439024
3 1192 0.50000000
3 1196 0.09090909
3 1208 0.10000000
3 1231 0.02857143
3 1237 0.06666667
3 1249 0.25000000
3 1262 0.11111111
3 1270 0.08333333
3 1281 0.00854701
3 1285 0.02222222
3 1288 0.50000000
3 1315 0.20000000
3 1317 0.05000000
3 1335 0.07692308
3 1340 0.04761905
3 1343 0.03333333
