alter ego quoteProb
1 142 0.50000000
142 1 1.00000000
142 4227 0.20000000
2 3877 0.02040816
2 7329 0.20000000
2 7318 0.06666667
2 5761 0.11111111
3877 2 0.25000000
3877 327 0.05555556
3877 461 0.02222222
3877 719 0.02564103
3877 898 0.01515152
3877 971 0.01515152
3877 1144 0.00487805
3877 1690 0.00917431
3877 1775 0.02083333
3877 1794 0.02777778
3877 2000 0.33333333
3877 2272 0.01754386
3877 3073 0.02325581
3877 3805 0.02272727
3877 3871 0.01724138
3877 5232 0.01886792
3877 3930 0.02272727
3877 3894 0.02127660
3877 6873 0.01785714
3877 7303 0.02777778
3877 7114 0.02127660
3877 8257 0.05263158
3877 7310 0.01818182
3877 5279 0.02325581
3877 6766 0.01449275
3877 6704 0.02380952
3877 4952 0.01204819
3877 6319 0.02222222
3877 7101 0.02631579
3877 7094 0.02564103
3877 6954 0.16666667
3877 7130 0.01219512
3877 5302 0.02941176
3877 7160 0.02380952
3877 5419 0.02564103
3877 5288 0.03030303
3877 7329 0.20000000
3877 7103 0.01333333
3877 6758 0.02500000
3877 5321 0.02702703
3877 3979 0.03448276
3877 5761 0.11111111
3877 5550 0.01960784
3877 7174 0.01724138
3877 6707 0.33333333
3877 6931 0.02439024
3877 6946 0.02272727
3877 7119 0.03030303
3877 6986 0.02325581
7329 2 0.25000000
7329 2559 0.12500000
7329 3877 0.02040816
7329 5761 0.11111111
7329 7318 0.06666667
7318 2 0.25000000
7318 684 0.04347826
7318 2272 0.01754386
7318 3283 0.12500000
7318 3491 0.04347826
7318 3856 0.07142857
7318 4929 0.08333333
7318 5865 0.07692308
7318 6007 0.09090909
7318 6330 0.09090909
7318 6609 0.03125000
7318 6623 0.04545455
7318 6990 0.05555556
7318 7267 0.06250000
7318 7329 0.20000000
5761 2 0.25000000
5761 2000 0.33333333
5761 3877 0.02040816
5761 4631 1.00000000
5761 5352 0.01538462
5761 7329 0.20000000
5761 6229 0.25000000
5761 6707 0.33333333
5761 10367 1.00000000
3 1930 0.50000000
3 1409 0.33333333
1930 3 0.50000000
1930 7004 0.09090909
1409 3 0.50000000
1409 418 0.33333333
1409 7004 0.09090909
4 3149 0.09090909
4 2999 0.25000000
3149 4 0.50000000
3149 2266 0.02631579
3149 2999 0.25000000
3149 9343 0.33333333
3149 6034 0.33333333
3149 9418 1.00000000
3149 6656 0.00613497
3149 9419 1.00000000
3149 9420 1.00000000
3149 9421 1.00000000
3149 9422 1.00000000
2999 4 0.50000000
2999 9343 0.33333333
2999 6034 0.33333333
2999 3149 0.09090909
5 6524 0.25000000
5 6492 0.14285714
5 3883 0.20000000
5 7330 0.16666667
6524 5 0.25000000
6524 4231 0.50000000
6524 6492 0.14285714
6524 7330 0.16666667
6492 5 0.25000000
6492 3883 0.20000000
6492 4717 0.33333333
6492 4838 0.06666667
6492 4992 0.33333333
6492 6127 0.50000000
6492 6524 0.25000000
3883 5 0.25000000
3883 6492 0.14285714
3883 4838 0.06666667
3883 4717 0.33333333
3883 7330 0.16666667
7330 5 0.25000000
7330 2605 1.00000000
7330 3883 0.20000000
7330 4838 0.06666667
7330 4992 0.33333333
7330 6524 0.25000000
6 7331 0.50000000
7331 6 1.00000000
7331 4381 0.04347826
7 7332 0.50000000
7332 7 1.00000000
7332 5655 0.50000000
8 7333 0.05882353
8 830 0.03125000
8 1690 0.00917431
8 5612 0.04545455
8 5229 0.04347826
8 3535 0.03703704
8 7145 0.01886792
8 5849 0.01063830
8 521 0.02564103
8 1811 0.07692308
8 5067 0.03225806
8 6925 0.01785714
8 6451 0.07142857
8 1158 0.04166667
8 1517 0.03225806
8 5530 0.01470588
7333 8 0.06250000
7333 521 0.02564103
7333 830 0.03125000
7333 1158 0.04166667
7333 1373 0.25000000
7333 1517 0.03225806
7333 1690 0.00917431
7333 1811 0.07692308
7333 3535 0.03703704
7333 5067 0.03225806
7333 5229 0.04347826
7333 5530 0.01470588
7333 5612 0.04545455
7333 5849 0.01063830
7333 6451 0.07142857
7333 6925 0.01785714
7333 7145 0.01886792
830 8 0.06250000
830 436 0.01282051
830 521 0.02564103
830 1446 0.07142857
830 7333 0.05882353
830 7132 0.03448276
830 6756 0.01666667
830 4138 0.04347826
830 6795 0.05555556
830 1690 0.00917431
830 2937 0.07142857
830 2378 0.33333333
830 5612 0.04545455
830 6850 0.02777778
830 4027 0.03225806
830 3012 0.04545455
830 5229 0.04347826
830 3535 0.03703704
830 5767 0.07142857
830 3347 0.01694915
830 7145 0.01886792
830 5849 0.01063830
830 1811 0.07692308
830 5636 0.04545455
830 5067 0.03225806
830 4663 0.01923077
830 6925 0.01785714
830 6451 0.07142857
830 3858 0.02127660
830 1158 0.04166667
830 5530 0.01470588
830 4661 0.09090909
1690 8 0.06250000
1690 371 0.02857143
1690 436 0.01282051
1690 461 0.02222222
1690 511 0.50000000
1690 521 0.02564103
1690 632 0.02500000
1690 654 0.03846154
1690 684 0.04347826
1690 719 0.02564103
1690 739 0.03846154
1690 763 0.03333333
1690 782 0.02702703
1690 830 0.03125000
1690 971 0.01515152
1690 1144 0.00487805
1690 1156 0.20000000
1690 1158 0.04166667
1690 1223 0.05882353
1690 1252 0.03333333
1690 1301 0.50000000
1690 1303 0.08333333
1690 1415 0.04000000
1690 1471 0.06250000
1690 1517 0.03225806
1690 1573 0.02500000
1690 1644 0.14285714
1690 5232 0.01886792
1690 3930 0.02272727
1690 3894 0.02127660
1690 6873 0.01785714
1690 7333 0.05882353
1690 5757 0.03030303
1690 5255 0.06666667
1690 3805 0.02272727
1690 7114 0.02127660
1690 6605 0.25000000
1690 7310 0.01818182
1690 1786 0.03225806
1690 8590 1.00000000
1690 3583 0.02631579
1690 5869 0.03030303
1690 6569 0.02857143
1690 7185 0.10000000
1690 5182 0.50000000
1690 5791 0.05000000
1690 6704 0.02380952
1690 7286 0.03703704
1690 4952 0.01204819
1690 8342 0.50000000
1690 5612 0.04545455
1690 6319 0.02222222
1690 6850 0.02777778
1690 5865 0.07692308
1690 8591 1.00000000
1690 7621 0.04166667
1690 7064 0.12500000
1690 2272 0.01754386
1690 5229 0.04347826
1690 2908 0.05555556
1690 5684 0.02777778
1690 5570 0.03225806
1690 5438 0.25000000
1690 3461 0.03030303
1690 7101 0.02631579
1690 5225 0.04166667
1690 5244 0.03703704
1690 7145 0.01886792
1690 5336 0.02631579
1690 7130 0.01219512
1690 5302 0.02941176
1690 7160 0.02380952
1690 3877 0.02040816
1690 6656 0.00613497
1690 5419 0.02564103
1690 5849 0.01063830
1690 3739 0.02702703
1690 5468 0.33333333
1690 7272 0.33333333
1690 6864 0.02325581
1690 1811 0.07692308
1690 3819 0.33333333
1690 3871 0.01724138
1690 3073 0.02325581
1690 5979 0.07142857
1690 7103 0.01333333
1690 5836 0.02083333
1690 6758 0.02500000
1690 8592 1.00000000
1690 7156 0.01369863
1690 5942 0.25000000
1690 5321 0.02702703
1690 6516 0.14285714
1690 5550 0.01960784
1690 7174 0.01724138
1690 6860 0.00952381
1690 6931 0.02439024
1690 5067 0.03225806
1690 3856 0.07142857
1690 3177 0.03125000
1690 6925 0.01785714
1690 6629 0.02380952
1690 6451 0.07142857
1690 7119 0.03030303
1690 5928 0.03846154
1690 6986 0.02325581
1690 3942 0.03030303
1690 5530 0.01470588
1690 8593 1.00000000
5612 8 0.06250000
5612 521 0.02564103
5612 830 0.03125000
5612 1158 0.04166667
5612 1517 0.03225806
5612 1690 0.00917431
5612 2659 0.06250000
5612 3012 0.04545455
5612 3535 0.03703704
5612 4823 0.06666667
5612 5067 0.03225806
5612 5229 0.04347826
5612 5530 0.01470588
5612 7333 0.05882353
5612 6756 0.01666667
5612 7549 0.14285714
5612 6795 0.05555556
5612 7145 0.01886792
5612 5849 0.01063830
5612 5636 0.04545455
5612 6925 0.01785714
5612 6451 0.07142857
5229 8 0.06250000
5229 419 0.02272727
5229 436 0.01282051
5229 521 0.02564103
5229 830 0.03125000
5229 1158 0.04166667
5229 1508 1.00000000
5229 1517 0.03225806
5229 1690 0.00917431
5229 1811 0.07692308
5229 4977 0.02500000
5229 5067 0.03225806
5229 7333 0.05882353
5229 5612 0.04545455
5229 7145 0.01886792
5229 5849 0.01063830
5229 10217 1.00000000
5229 6451 0.07142857
5229 5530 0.01470588
5229 6850 0.02777778
5229 6934 0.03030303
5229 6944 0.02272727
5229 7052 0.03571429
3535 8 0.06250000
3535 46 0.10000000
3535 436 0.01282051
3535 521 0.02564103
3535 830 0.03125000
3535 1158 0.04166667
3535 1373 0.25000000
3535 1517 0.03225806
3535 3347 0.01694915
3535 7333 0.05882353
3535 7132 0.03448276
3535 4138 0.04347826
3535 5776 0.06666667
3535 5612 0.04545455
3535 3788 0.09090909
3535 7063 0.01724138
3535 5767 0.07142857
3535 7145 0.01886792
3535 5849 0.01063830
3535 4509 0.07142857
3535 5576 0.07692308
3535 7097 0.04761905
3535 7716 0.09090909
3535 5582 0.05882353
3535 5067 0.03225806
3535 4663 0.01923077
3535 6925 0.01785714
7145 8 0.06250000
7145 419 0.02272727
7145 436 0.01282051
7145 521 0.02564103
7145 619 0.02380952
7145 801 0.02380952
7145 830 0.03125000
7145 869 1.00000000
7145 1033 0.03030303
7145 1158 0.04166667
7145 1446 0.07142857
7145 1504 0.02272727
7145 1517 0.03225806
7145 1690 0.00917431
7145 1811 0.07692308
7145 2659 0.06250000
7145 2902 1.00000000
7145 2937 0.07142857
7145 3012 0.04545455
7145 3216 0.02325581
7145 3289 0.02272727
7145 3347 0.01694915
7145 3535 0.03703704
7145 3593 0.02222222
7145 3858 0.02127660
7145 4064 0.02380952
7145 4517 0.02040816
7145 4823 0.06666667
7145 4931 0.02380952
7145 4977 0.02500000
7145 5067 0.03225806
7145 5229 0.04347826
7145 5262 0.02272727
7145 5530 0.01470588
7145 5537 0.12500000
7145 5612 0.04545455
7145 5636 0.04545455
7145 5785 1.00000000
7145 5802 0.02380952
7145 5849 0.01063830
7145 6451 0.07142857
7145 6756 0.01666667
7145 6795 0.05555556
7145 6850 0.02777778
7145 6885 0.02272727
7145 6925 0.01785714
7145 6934 0.03030303
7145 6944 0.02272727
7145 7033 0.02272727
7145 7063 0.01724138
7145 7117 0.02272727
7145 7333 0.05882353
7145 7698 0.02222222
5849 8 0.06250000
5849 105 0.20000000
5849 295 0.20000000
5849 325 0.02631579
5849 419 0.02272727
5849 436 0.01282051
5849 521 0.02564103
5849 619 0.02380952
5849 675 0.33333333
5849 801 0.02380952
5849 830 0.03125000
5849 894 0.03225806
5849 967 0.05882353
5849 1158 0.04166667
5849 1168 0.12500000
5849 1436 0.01428571
5849 1446 0.07142857
5849 1504 0.02272727
5849 1690 0.00917431
5849 1811 0.07692308
5849 1982 0.02127660
5849 2318 1.00000000
5849 2378 0.33333333
5849 2659 0.06250000
5849 2888 0.50000000
5849 2937 0.07142857
5849 3012 0.04545455
5849 3150 0.50000000
5849 3216 0.02325581
5849 3289 0.02272727
5849 3347 0.01694915
5849 3421 0.12500000
5849 3535 0.03703704
5849 3593 0.02222222
5849 3629 0.06666667
5849 3858 0.02127660
5849 4027 0.03225806
5849 4064 0.02380952
5849 4138 0.04347826
5849 4279 0.20000000
5849 4478 1.00000000
5849 4517 0.02040816
5849 4661 0.09090909
5849 4663 0.01923077
5849 4862 0.05555556
5849 4931 0.02380952
