alter ego quoteProb
0 7 0.20000000
0 57 0.14285714
0 111 0.50000000
1 89 0.25000000
1 99 0.11111111
2 30 0.16666667
2 34 0.20000000
2 43 0.16666667
2 15 0.33333333
2 61 0.25000000
3 32 0.50000000
3 93 0.14285714
3 105 0.20000000
4 11 0.33333333
4 59 0.25000000
4 98 0.16666667
4 14 0.33333333
4 66 0.33333333
5 93 0.14285714
6 79 1.00000000
6 105 0.20000000
6 37 0.50000000
7 0 0.33333333
7 29 0.25000000
7 82 0.50000000
7 97 0.20000000
7 62 1.00000000
8 41 0.25000000
8 50 0.16666667
8 97 0.20000000
9 60 0.20000000
9 78 0.25000000
9 20 0.50000000
10 57 0.14285714
10 16 0.25000000
11 4 0.20000000
11 30 0.16666667
11 105 0.20000000
12 103 0.25000000
13 56 0.20000000
13 112 1.00000000
14 4 0.20000000
14 53 0.14285714
14 113 0.33333333
15 2 0.20000000
15 28 0.16666667
15 97 0.20000000
16 10 0.50000000
16 47 0.16666667
16 99 0.11111111
16 89 0.25000000
17 82 0.50000000
17 104 1.00000000
18 40 0.20000000
18 51 0.25000000
18 77 0.20000000
19 34 0.20000000
19 36 0.20000000
19 94 0.16666667
19 45 0.25000000
20 9 0.33333333
20 113 0.33333333
21 22 0.25000000
21 50 0.16666667
21 53 0.14285714
21 89 0.25000000
22 21 0.25000000
22 53 0.14285714
22 85 0.33333333
22 50 0.16666667
23 94 0.16666667
24 65 1.00000000
24 102 0.25000000
25 41 0.25000000
25 75 0.50000000
26 61 0.25000000
26 114 0.50000000
26 48 0.33333333
27 35 0.16666667
27 87 1.00000000
27 94 0.16666667
27 48 0.33333333
28 15 0.33333333
28 40 0.20000000
28 93 0.14285714
28 36 0.20000000
28 38 0.33333333
28 98 0.16666667
29 7 0.20000000
29 97 0.20000000
29 99 0.11111111
29 102 0.25000000
30 2 0.20000000
30 11 0.33333333
30 34 0.20000000
30 43 0.16666667
30 53 0.14285714
30 38 0.33333333
31 54 0.33333333
31 108 0.33333333
32 3 0.33333333
32 68 0.20000000
33 92 0.16666667
33 102 0.25000000
33 105 0.20000000
33 70 0.33333333
34 2 0.20000000
34 19 0.25000000
34 30 0.16666667
34 43 0.16666667
34 50 0.16666667
35 27 0.25000000
35 52 0.33333333
35 95 0.25000000
35 99 0.11111111
35 92 0.16666667
35 93 0.14285714
36 19 0.25000000
36 28 0.16666667
36 45 0.25000000
36 42 0.25000000
36 61 0.25000000
37 6 0.33333333
37 105 0.20000000
38 28 0.16666667
38 30 0.16666667
38 40 0.20000000
39 43 0.16666667
39 99 0.11111111
39 80 0.16666667
40 18 0.33333333
40 28 0.16666667
40 38 0.33333333
40 54 0.33333333
40 93 0.14285714
41 8 0.33333333
41 25 0.50000000
41 56 0.20000000
41 101 0.16666667
42 36 0.20000000
42 96 0.33333333
42 98 0.16666667
42 66 0.33333333
43 2 0.20000000
43 30 0.16666667
43 34 0.20000000
43 39 0.33333333
43 53 0.14285714
43 94 0.16666667
44 48 0.33333333
44 100 0.50000000
45 36 0.20000000
45 19 0.25000000
45 80 0.16666667
45 81 0.33333333
46 57 0.14285714
46 100 0.50000000
46 107 0.20000000
46 81 0.33333333
46 91 0.33333333
46 92 0.16666667
47 16 0.25000000
47 49 0.20000000
47 96 0.33333333
47 110 0.20000000
47 57 0.14285714
47 77 0.20000000
48 26 0.33333333
48 27 0.25000000
48 44 0.50000000
49 47 0.16666667
49 96 0.33333333
49 110 0.20000000
49 77 0.20000000
49 78 0.25000000
50 8 0.33333333
50 21 0.25000000
50 22 0.25000000
50 34 0.20000000
50 113 0.33333333
50 85 0.33333333
51 18 0.33333333
