alter ego quoteProb
1 2 0.04347826
1 3 0.02631579
1 4 0.04545455
1 5 0.10000000
1 6 0.04761905
1 7 0.03846154
1 8 0.12500000
1 9 0.05882353
1 10 0.03125000
1 11 0.05000000
1 12 0.05555556
1 13 0.04000000
1 14 0.02777778
1 15 0.05263158
1 16 0.01960784
1 17 0.14285714
1 18 0.05555556
1 19 0.03571429
1 20 0.05882353
1 21 0.02325581
1 22 0.06666667
1 23 0.01960784
1 24 0.02380952
1 25 0.05000000
1 26 0.33333333
1 27 0.04761905
1 28 0.08333333
1 29 0.11111111
1 30 0.03846154
1 31 0.04545455
2 1 0.03333333
2 18 0.05555556
2 32 0.33333333
2 13 0.04000000
2 16 0.01960784
2 10 0.03125000
2 24 0.02380952
2 33 0.12500000
2 34 0.05263158
2 22 0.06666667
2 35 1.00000000
2 3 0.02631579
2 9 0.05882353
2 20 0.05882353
2 36 1.00000000
2 7 0.03846154
2 6 0.04761905
2 8 0.12500000
2 37 1.00000000
2 11 0.05000000
2 4 0.04545455
2 38 0.04000000
2 19 0.03571429
3 1 0.03333333
3 2 0.04347826
3 39 0.03571429
3 21 0.02325581
3 40 0.03703704
3 13 0.04000000
3 7 0.03846154
3 8 0.12500000
3 34 0.05263158
3 28 0.08333333
3 23 0.01960784
3 41 0.02040816
3 42 0.01960784
3 43 0.10000000
3 9 0.05882353
3 11 0.05000000
3 4 0.04545455
3 18 0.05555556
3 19 0.03571429
3 44 0.05555556
3 16 0.01960784
3 45 0.03225806
3 46 0.02777778
3 6 0.04761905
3 20 0.05882353
3 27 0.04761905
3 22 0.06666667
3 47 0.14285714
3 48 0.14285714
3 49 0.02500000
3 50 0.03846154
3 12 0.05555556
3 51 0.04545455
3 52 0.02631579
3 53 0.50000000
3 54 0.03125000
3 55 0.06666667
3 56 0.02857143
4 1 0.03333333
4 2 0.04347826
4 3 0.02631579
4 57 0.03571429
4 58 0.03030303
4 59 0.05263158
4 60 0.33333333
4 46 0.02777778
4 61 0.10000000
4 62 0.03846154
4 63 0.10000000
4 64 0.05882353
4 65 0.05555556
4 66 0.07142857
4 67 0.07142857
4 11 0.05000000
4 68 0.06250000
4 69 0.03333333
4 70 0.04347826
4 71 0.07692308
