alter ego quoteProb
1 2 0.03571429
1 3 0.03448276
1 6 0.03846154
1 8 0.03703704
1 10 0.11111111
1 11 0.08333333
1 13 0.03448276
1 14 0.05263158
1 18 0.03571429
1 19 0.03448276
1 20 0.05000000
1 21 0.03846154
1 22 0.03125000
1 23 0.03333333
1 24 0.03333333
1 25 0.04545455
1 26 0.06666667
1 27 0.03333333
1 31 0.05555556
1 32 0.03703704
1 33 0.03333333
1 35 0.03703704
1 36 0.04545455
1 37 0.03703704
1 38 0.04761905
1 39 0.03846154
1 40 0.04000000
1 41 0.03846154
1 42 0.03448276
1 43 0.04761905
1 44 0.03571429
1 45 0.05882353
1 46 0.08333333
2 1 0.03030303
2 3 0.03448276
2 8 0.03703704
2 11 0.08333333
2 13 0.03448276
2 14 0.05263158
2 18 0.03571429
2 19 0.03448276
2 21 0.03846154
2 22 0.03125000
2 23 0.03333333
2 24 0.03333333
2 25 0.04545455
2 27 0.03333333
2 32 0.03703704
2 33 0.03333333
2 35 0.03703704
2 37 0.03703704
2 40 0.04000000
2 41 0.03846154
2 42 0.03448276
2 43 0.04761905
2 44 0.03571429
2 45 0.05882353
2 46 0.08333333
2 26 0.06666667
2 38 0.04761905
2 39 0.03846154
3 1 0.03030303
3 2 0.03571429
3 6 0.03846154
3 8 0.03703704
3 13 0.03448276
3 18 0.03571429
3 19 0.03448276
3 20 0.05000000
3 22 0.03125000
3 23 0.03333333
3 24 0.03333333
3 25 0.04545455
3 26 0.06666667
3 27 0.03333333
3 31 0.05555556
3 32 0.03703704
3 33 0.03333333
3 35 0.03703704
3 36 0.04545455
3 37 0.03703704
3 39 0.03846154
3 41 0.03846154
3 42 0.03448276
3 43 0.04761905
3 11 0.08333333
3 21 0.03846154
3 38 0.04761905
3 40 0.04000000
3 44 0.03571429
6 1 0.03030303
6 3 0.03448276
6 8 0.03703704
6 13 0.03448276
6 14 0.05263158
6 18 0.03571429
6 19 0.03448276
6 20 0.05000000
6 21 0.03846154
6 22 0.03125000
6 23 0.03333333
6 24 0.03333333
6 27 0.03333333
6 31 0.05555556
6 32 0.03703704
6 33 0.03333333
6 35 0.03703704
6 36 0.04545455
6 37 0.03703704
6 38 0.04761905
6 40 0.04000000
6 41 0.03846154
6 42 0.03448276
6 44 0.03571429
6 39 0.03846154
6 45 0.05882353
8 1 0.03030303
8 2 0.03571429
8 3 0.03448276
8 6 0.03846154
8 13 0.03448276
8 14 0.05263158
8 18 0.03571429
8 19 0.03448276
8 20 0.05000000
8 22 0.03125000
8 23 0.03333333
8 24 0.03333333
8 25 0.04545455
8 27 0.03333333
8 32 0.03703704
8 33 0.03333333
8 35 0.03703704
8 37 0.03703704
8 38 0.04761905
8 40 0.04000000
8 41 0.03846154
8 42 0.03448276
8 44 0.03571429
8 45 0.05882353
8 21 0.03846154
8 31 0.05555556
8 39 0.03846154
10 1 0.03030303
10 13 0.03448276
10 22 0.03125000
10 24 0.03333333
10 27 0.03333333
10 33 0.03333333
10 40 0.04000000
10 42 0.03448276
10 44 0.03571429
11 1 0.03030303
11 2 0.03571429
11 3 0.03448276
11 13 0.03448276
11 14 0.05263158
11 19 0.03448276
11 21 0.03846154
11 41 0.03846154
11 18 0.03571429
11 23 0.03333333
11 39 0.03846154
11 44 0.03571429
13 1 0.03030303
13 2 0.03571429
13 3 0.03448276
13 6 0.03846154
13 8 0.03703704
13 10 0.11111111
13 11 0.08333333
13 14 0.05263158
13 19 0.03448276
13 21 0.03846154
13 22 0.03125000
13 23 0.03333333
13 24 0.03333333
13 25 0.04545455
13 27 0.03333333
13 32 0.03703704
13 33 0.03333333
13 35 0.03703704
13 36 0.04545455
13 37 0.03703704
13 38 0.04761905
13 40 0.04000000
13 42 0.03448276
13 43 0.04761905
13 18 0.03571429
13 20 0.05000000
13 39 0.03846154
13 44 0.03571429
13 45 0.05882353
14 1 0.03030303
14 2 0.03571429
14 6 0.03846154
14 8 0.03703704
14 11 0.08333333
14 13 0.03448276
14 19 0.03448276
14 21 0.03846154
14 22 0.03125000
14 33 0.03333333
14 35 0.03703704
14 40 0.04000000
14 45 0.05882353
14 18 0.03571429
14 23 0.03333333
