alter ego quoteProb
0 0 0.03703704
0 5 0.04347826
0 8 0.02777778
0 9 0.03703704
0 11 0.03703704
0 15 0.05882353
0 16 0.02500000
0 18 0.04545455
0 19 0.03225806
0 24 0.03333333
0 25 0.05263158
0 26 0.04545455
0 28 0.04000000
0 29 0.04761905
0 30 0.04761905
0 31 0.05555556
0 34 0.05263158
0 39 0.03448276
0 43 0.04347826
0 45 0.04166667
0 46 0.03125000
0 48 0.02380952
0 49 0.03448276
0 51 0.02941176
0 53 0.03846154
0 14 0.08333333
0 21 0.03846154
1 1 0.05555556
1 2 0.07692308
1 3 0.06666667
1 6 0.03333333
1 7 0.02702703
1 12 0.06666667
1 13 0.03448276
1 20 0.06250000
1 25 0.05263158
1 26 0.04545455
1 31 0.05555556
1 36 0.06250000
1 41 0.04545455
1 43 0.04347826
1 49 0.03448276
1 52 0.03448276
1 34 0.05263158
1 48 0.02380952
2 1 0.05555556
2 2 0.07692308
2 3 0.06666667
2 6 0.03333333
2 7 0.02702703
2 20 0.06250000
2 21 0.03846154
2 26 0.04545455
2 48 0.02380952
2 50 0.07142857
2 51 0.02941176
2 28 0.04000000
2 43 0.04347826
3 1 0.05555556
3 2 0.07692308
3 3 0.06666667
3 5 0.04347826
3 6 0.03333333
3 8 0.02777778
3 9 0.03703704
3 13 0.03448276
3 19 0.03225806
3 29 0.04761905
3 47 0.04761905
3 51 0.02941176
3 18 0.04545455
3 25 0.05263158
3 26 0.04545455
4 4 0.14285714
4 35 0.07692308
4 49 0.03448276
4 53 0.03846154
4 27 0.04761905
4 33 0.04545455
4 36 0.06250000
5 0 0.03703704
5 3 0.06666667
5 5 0.04347826
5 7 0.02702703
5 9 0.03703704
5 11 0.03703704
5 13 0.03448276
5 15 0.05882353
5 16 0.02500000
5 19 0.03225806
5 24 0.03333333
5 28 0.04000000
5 30 0.04761905
5 39 0.03448276
5 44 0.04761905
5 45 0.04166667
5 46 0.03125000
5 48 0.02380952
5 50 0.07142857
5 51 0.02941176
5 53 0.03846154
5 22 0.07692308
5 47 0.04761905
6 1 0.05555556
6 2 0.07692308
6 3 0.06666667
6 6 0.03333333
6 7 0.02702703
6 8 0.02777778
6 9 0.03703704
6 11 0.03703704
6 13 0.03448276
6 16 0.02500000
6 17 0.08333333
6 19 0.03225806
6 21 0.03846154
6 22 0.07692308
6 35 0.07692308
6 37 0.05263158
6 38 0.05263158
6 39 0.03448276
6 42 0.04761905
6 44 0.04761905
6 45 0.04166667
6 48 0.02380952
6 51 0.02941176
6 54 0.09090909
6 41 0.04545455
6 46 0.03125000
6 47 0.04761905
6 50 0.07142857
6 52 0.03448276
6 53 0.03846154
7 1 0.05555556
7 2 0.07692308
7 5 0.04347826
7 6 0.03333333
7 7 0.02702703
7 8 0.02777778
7 11 0.03703704
7 12 0.06666667
7 16 0.02500000
7 19 0.03225806
7 20 0.06250000
7 21 0.03846154
7 22 0.07692308
7 23 0.16666667
7 24 0.03333333
7 29 0.04761905
7 30 0.04761905
7 36 0.06250000
7 39 0.03448276
7 41 0.04545455
7 43 0.04347826
7 44 0.04761905
7 46 0.03125000
7 47 0.04761905
7 49 0.03448276
7 50 0.07142857
7 52 0.03448276
7 54 0.09090909
7 25 0.05263158
7 27 0.04761905
7 31 0.05555556
7 32 0.12500000
7 33 0.04545455
7 34 0.05263158
7 37 0.05263158
7 38 0.05263158
7 40 0.20000000
8 0 0.03703704
8 3 0.06666667
8 6 0.03333333
8 7 0.02702703
8 8 0.02777778
8 9 0.03703704
8 14 0.08333333
8 16 0.02500000
8 17 0.08333333
8 18 0.04545455
8 19 0.03225806
8 20 0.06250000
8 21 0.03846154
8 22 0.07692308
8 23 0.16666667
8 24 0.03333333
8 29 0.04761905
8 30 0.04761905
8 31 0.05555556
8 35 0.07692308
8 36 0.06250000
8 37 0.05263158
8 38 0.05263158
8 39 0.03448276
8 41 0.04545455
8 42 0.04761905
8 43 0.04347826
8 44 0.04761905
8 45 0.04166667
8 46 0.03125000
8 47 0.04761905
8 48 0.02380952
8 49 0.03448276
8 51 0.02941176
8 13 0.03448276
8 52 0.03448276
9 0 0.03703704
9 3 0.06666667
9 5 0.04347826
9 6 0.03333333
9 8 0.02777778
9 9 0.03703704
9 11 0.03703704
9 13 0.03448276
9 15 0.05882353
9 16 0.02500000
9 19 0.03225806
9 24 0.03333333
9 25 0.05263158
9 27 0.04761905
9 28 0.04000000
9 39 0.03448276
9 42 0.04761905
9 43 0.04347826
9 45 0.04166667
9 46 0.03125000
9 47 0.04761905
9 48 0.02380952
9 50 0.07142857
9 51 0.02941176
9 53 0.03846154
9 20 0.06250000
9 41 0.04545455
10 10 0.33333333
10 49 0.03448276
10 52 0.03448276
11 0 0.03703704
11 5 0.04347826
11 6 0.03333333
11 7 0.02702703
11 9 0.03703704
11 11 0.03703704
11 13 0.03448276
11 15 0.05882353
11 25 0.05263158
11 27 0.04761905
11 28 0.04000000
11 29 0.04761905
11 33 0.04545455
11 34 0.05263158
11 45 0.04166667
11 48 0.02380952
11 51 0.02941176
11 52 0.03448276
11 53 0.03846154
11 54 0.09090909
11 16 0.02500000
11 19 0.03225806
11 21 0.03846154
11 24 0.03333333
11 30 0.04761905
11 39 0.03448276
11 46 0.03125000
12 1 0.05555556
12 7 0.02702703
12 12 0.06666667
12 27 0.04761905
12 33 0.04545455
12 41 0.04545455
12 47 0.04761905
12 48 0.02380952
12 49 0.03448276
12 52 0.03448276
12 13 0.03448276
12 18 0.04545455
12 34 0.05263158
12 42 0.04761905
12 53 0.03846154
13 1 0.05555556
13 3 0.06666667
13 5 0.04347826
13 6 0.03333333
13 9 0.03703704
13 11 0.03703704
13 8 0.02777778
13 12 0.06666667
13 13 0.03448276
13 15 0.05882353
13 18 0.04545455
13 24 0.03333333
13 25 0.05263158
13 26 0.04545455
13 27 0.04761905
13 29 0.04761905
13 31 0.05555556
13 33 0.04545455
13 43 0.04347826
13 45 0.04166667
13 46 0.03125000
13 47 0.04761905
13 48 0.02380952
13 49 0.03448276
13 52 0.03448276
13 53 0.03846154
13 28 0.04000000
13 50 0.07142857
13 51 0.02941176
14 8 0.02777778
14 0 0.03703704
14 14 0.08333333
14 21 0.03846154
14 26 0.04545455
14 42 0.04761905
14 45 0.04166667
14 49 0.03448276
14 53 0.03846154
14 28 0.04000000
14 33 0.04545455
14 48 0.02380952
15 0 0.03703704
15 5 0.04347826
15 9 0.03703704
15 11 0.03703704
15 13 0.03448276
15 15 0.05882353
15 20 0.06250000
15 48 0.02380952
15 52 0.03448276
15 53 0.03846154
15 16 0.02500000
15 19 0.03225806
15 24 0.03333333
15 28 0.04000000
15 39 0.03448276
15 45 0.04166667
15 46 0.03125000
16 0 0.03703704
16 5 0.04347826
16 6 0.03333333
16 7 0.02702703
16 8 0.02777778
16 9 0.03703704
16 11 0.03703704
16 15 0.05882353
16 16 0.02500000
16 17 0.08333333
16 18 0.04545455
16 19 0.03225806
16 20 0.06250000
16 21 0.03846154
16 22 0.07692308
16 24 0.03333333
16 26 0.04545455
16 28 0.04000000
16 30 0.04761905
16 31 0.05555556
16 34 0.05263158
16 35 0.07692308
16 37 0.05263158
16 38 0.05263158
16 39 0.03448276
16 42 0.04761905
16 44 0.04761905
16 45 0.04166667
16 46 0.03125000
16 47 0.04761905
16 48 0.02380952
16 49 0.03448276
16 51 0.02941176
16 53 0.03846154
16 54 0.09090909
16 29 0.04761905
16 32 0.12500000
16 33 0.04545455
16 36 0.06250000
16 41 0.04545455
17 6 0.03333333
17 8 0.02777778
17 16 0.02500000
17 17 0.08333333
17 19 0.03225806
17 35 0.07692308
17 37 0.05263158
17 38 0.05263158
17 39 0.03448276
17 42 0.04761905
17 48 0.02380952
17 51 0.02941176
18 0 0.03703704
18 8 0.02777778
18 13 0.03448276
18 16 0.02500000
18 3 0.06666667
18 12 0.06666667
18 18 0.04545455
18 19 0.03225806
18 26 0.04545455
18 27 0.04761905
18 30 0.04761905
18 31 0.05555556
18 33 0.04545455
18 34 0.05263158
18 36 0.06250000
18 43 0.04347826
18 45 0.04166667
18 47 0.04761905
18 49 0.03448276
18 51 0.02941176
18 52 0.03448276
18 32 0.12500000
19 0 0.03703704
19 3 0.06666667
19 5 0.04347826
19 6 0.03333333
19 7 0.02702703
19 8 0.02777778
19 9 0.03703704
19 16 0.02500000
19 17 0.08333333
19 18 0.04545455
19 11 0.03703704
19 15 0.05882353
19 19 0.03225806
19 24 0.03333333
19 26 0.04545455
19 28 0.04000000
19 30 0.04761905
19 31 0.05555556
19 33 0.04545455
19 34 0.05263158
19 35 0.07692308
19 37 0.05263158
19 38 0.05263158
19 39 0.03448276
19 42 0.04761905
19 45 0.04166667
19 46 0.03125000
19 48 0.02380952
19 51 0.02941176
19 53 0.03846154
19 47 0.04761905
20 1 0.05555556
20 2 0.07692308
20 7 0.02702703
20 8 0.02777778
20 15 0.05882353
20 16 0.02500000
20 9 0.03703704
20 20 0.06250000
20 25 0.05263158
20 31 0.05555556
20 33 0.04545455
20 43 0.04347826
20 44 0.04761905
