alter ego quoteProb
100 106 0.03571429
100 112 0.07692308
100 1 0.01219512
100 12 0.01219512
100 19 0.01369863
100 24 0.01818182
100 27 0.02222222
100 3 0.01020408
100 31 0.01449275
100 37 0.01886792
100 39 0.01818182
100 42 0.02272727
100 46 0.01639344
100 48 0.02000000
100 57 0.01818182
100 6 0.01492537
100 63 0.01449275
100 65 0.01234568
100 67 0.03571429
100 69 0.01694915
100 70 0.02777778
100 71 0.02222222
100 74 0.01785714
100 75 0.03030303
100 85 0.02439024
100 89 0.02857143
100 95 0.03030303
106 100 0.03703704
106 107 0.03846154
106 12 0.01219512
106 13 0.02127660
106 17 0.01694915
106 19 0.01369863
106 20 0.04761905
106 37 0.01886792
106 4 0.01265823
106 42 0.02272727
106 46 0.01639344
106 49 0.02127660
106 50 0.04347826
106 53 0.01724138
106 57 0.01818182
106 58 0.02222222
106 6 0.01492537
106 63 0.01449275
106 65 0.01234568
106 69 0.01694915
106 72 0.01612903
106 75 0.03030303
106 77 0.02439024
106 84 0.02857143
106 86 0.02325581
106 87 0.02040816
106 89 0.02857143
106 92 0.03571429
112 100 0.03703704
112 102 0.03703704
112 11 0.03703704
112 1 0.01219512
112 113 0.02272727
112 12 0.01219512
112 31 0.01449275
112 35 0.01785714
112 38 0.02631579
112 46 0.01639344
112 65 0.01234568
112 77 0.02439024
112 86 0.02325581
10 101 0.02173913
10 11 0.03703704
10 113 0.02272727
10 12 0.01219512
10 14 0.01639344
10 16 0.02272727
10 17 0.01694915
10 18 0.04000000
10 19 0.01369863
10 20 0.04761905
10 22 0.02702703
10 24 0.01818182
10 26 0.05000000
10 27 0.02222222
10 28 0.03448276
10 30 0.02173913
10 31 0.01449275
10 34 0.02222222
10 35 0.01785714
10 38 0.02631579
10 40 0.03225806
10 41 0.02564103
10 42 0.02272727
10 43 0.02380952
10 44 0.02380952
10 45 0.01785714
10 46 0.01639344
10 47 0.03333333
10 49 0.02127660
10 53 0.01724138
10 55 0.02857143
10 58 0.02222222
10 59 0.05555556
10 63 0.01449275
10 64 0.02272727
10 65 0.01234568
10 69 0.01694915
10 72 0.01612903
10 73 0.02857143
10 74 0.01785714
10 75 0.03030303
10 76 0.02564103
10 78 0.01960784
10 83 0.02500000
10 84 0.02857143
10 85 0.02439024
10 86 0.02325581
10 89 0.02857143
10 91 0.02380952
10 92 0.03571429
10 93 0.02500000
10 95 0.03030303
10 96 0.03030303
10 97 0.03571429
10 99 0.03703704
10 1 0.01219512
10 2 0.02941176
10 3 0.01020408
10 4 0.01265823
10 5 0.05263158
10 6 0.01492537
10 8 0.01754386
101 10 0.01612903
101 1 0.01219512
101 11 0.03703704
101 13 0.02127660
101 14 0.01639344
101 19 0.01369863
101 20 0.04761905
101 2 0.02941176
101 25 0.01515152
101 31 0.01449275
101 35 0.01785714
101 37 0.01886792
101 41 0.02564103
101 42 0.02272727
101 44 0.02380952
101 45 0.01785714
101 46 0.01639344
101 48 0.02000000
101 49 0.02127660
101 52 0.02564103
101 53 0.01724138
101 54 0.02000000
101 55 0.02857143
101 57 0.01818182
101 58 0.02222222
101 6 0.01492537
101 65 0.01234568
101 67 0.03571429
101 69 0.01694915
101 71 0.02222222
101 72 0.01612903
101 73 0.02857143
101 74 0.01785714
101 75 0.03030303
101 76 0.02564103
101 8 0.01754386
101 83 0.02500000
101 85 0.02439024
101 86 0.02325581
101 87 0.02040816
101 88 0.03125000
101 90 0.01639344
101 9 0.03225806
101 96 0.03030303
101 97 0.03571429
101 99 0.03703704
11 10 0.01612903
11 101 0.02173913
11 102 0.03703704
11 105 0.03448276
11 110 0.04347826
11 1 0.01219512
11 112 0.07692308
11 12 0.01219512
11 14 0.01639344
11 16 0.02272727
11 18 0.04000000
11 22 0.02702703
11 24 0.01818182
11 28 0.03448276
11 30 0.02173913
11 39 0.01818182
11 50 0.04347826
11 52 0.02564103
11 57 0.01818182
11 72 0.01612903
11 76 0.02564103
11 84 0.02857143
11 93 0.02500000
11 2 0.02941176
11 3 0.01020408
11 4 0.01265823
11 6 0.01492537
113 10 0.01612903
113 102 0.03703704
113 107 0.03846154
113 108 0.04545455
113 1 0.01219512
113 112 0.07692308
113 12 0.01219512
113 13 0.02127660
113 14 0.01639344
113 16 0.02272727
113 17 0.01694915
113 18 0.04000000
113 19 0.01369863
113 23 0.02702703
113 30 0.02173913
113 3 0.01020408
113 35 0.01785714
113 36 0.03225806
113 38 0.02631579
113 39 0.01818182
113 42 0.02272727
113 47 0.03333333
113 48 0.02000000
113 5 0.05263158
113 55 0.02857143
113 56 0.02777778
113 6 0.01492537
113 63 0.01449275
113 64 0.02272727
113 65 0.01234568
113 70 0.02777778
113 71 0.02222222
113 7 0.02857143
113 78 0.01960784
113 79 0.05000000
113 8 0.01754386
113 84 0.02857143
113 85 0.02439024
113 86 0.02325581
113 87 0.02040816
113 89 0.02857143
113 90 0.01639344
113 9 0.03225806
113 98 0.07142857
12 10 0.01612903
12 11 0.03703704
12 1 0.01219512
12 100 0.03703704
12 102 0.03703704
12 106 0.03571429
12 107 0.03846154
12 109 0.08333333
