alter ego quoteProb
1 2 0.05263158
1 3 0.04166667
1 5 0.03125000
1 6 0.02777778
1 9 0.03125000
1 11 0.02702703
1 12 0.03333333
1 13 0.01724138
1 15 0.01315789
1 16 0.04000000
1 17 0.04347826
1 4 0.03448276
1 7 0.03448276
1 14 0.02777778
1 28 0.01315789
1 49 0.01315789
1 68 0.01315789
1 74 0.01315789
2 1 0.05555556
2 5 0.03125000
2 6 0.02777778
2 7 0.03448276
2 8 0.05000000
2 9 0.03125000
2 11 0.02702703
2 12 0.03333333
2 13 0.01724138
2 15 0.01315789
2 16 0.04000000
2 17 0.04347826
2 3 0.04166667
2 4 0.03448276
2 14 0.02777778
2 28 0.01315789
2 49 0.01315789
2 68 0.01315789
2 74 0.01315789
3 1 0.05555556
3 2 0.05263158
3 4 0.03448276
3 5 0.03125000
3 6 0.02777778
3 7 0.03448276
3 8 0.05000000
3 9 0.03125000
3 10 0.03571429
3 11 0.02702703
3 12 0.03333333
3 13 0.01724138
3 14 0.02777778
3 15 0.01315789
3 16 0.04000000
3 17 0.04347826
3 18 0.01851852
3 52 0.03571429
3 55 0.02500000
3 68 0.01315789
3 75 0.02857143
3 28 0.01315789
3 49 0.01315789
3 74 0.01315789
5 1 0.05555556
5 2 0.05263158
5 3 0.04166667
5 4 0.03448276
5 6 0.02777778
5 7 0.03448276
5 8 0.05000000
5 9 0.03125000
5 10 0.03571429
5 11 0.02702703
5 12 0.03333333
5 13 0.01724138
5 14 0.02777778
5 15 0.01315789
5 16 0.04000000
5 17 0.04347826
5 18 0.01851852
5 21 0.02325581
5 23 0.02040816
5 48 0.04166667
5 49 0.01315789
5 50 0.03846154
5 53 0.04545455
5 55 0.02500000
5 56 0.03030303
5 57 0.03846154
5 58 0.03703704
5 59 0.04000000
5 60 0.03571429
5 68 0.01315789
5 28 0.01315789
5 74 0.01315789
6 1 0.05555556
6 2 0.05263158
6 3 0.04166667
6 4 0.03448276
6 5 0.03125000
6 7 0.03448276
6 8 0.05000000
6 9 0.03125000
6 10 0.03571429
6 11 0.02702703
6 12 0.03333333
6 13 0.01724138
6 14 0.02777778
6 15 0.01315789
6 16 0.04000000
6 17 0.04347826
6 18 0.01851852
6 21 0.02325581
6 23 0.02040816
6 38 0.02631579
6 40 0.02702703
6 55 0.02500000
6 56 0.03030303
6 58 0.03703704
6 59 0.04000000
6 60 0.03571429
6 62 0.03333333
6 67 0.04545455
6 68 0.01315789
6 69 0.03571429
6 71 0.02857143
6 75 0.02857143
6 28 0.01315789
6 35 0.02173913
6 49 0.01315789
6 74 0.01315789
9 1 0.05555556
9 2 0.05263158
9 3 0.04166667
9 4 0.03448276
9 5 0.03125000
9 6 0.02777778
9 7 0.03448276
9 8 0.05000000
9 10 0.03571429
9 11 0.02702703
9 12 0.03333333
9 13 0.01724138
9 14 0.02777778
9 15 0.01315789
9 16 0.04000000
9 17 0.04347826
9 27 0.02500000
9 28 0.01315789
9 34 0.02941176
9 35 0.02173913
9 44 0.02439024
9 55 0.02500000
9 68 0.01315789
9 71 0.02857143
9 74 0.01315789
