alter ego quoteProb
0 2 0.07692308
0 3 0.11111111
0 8 0.11111111
0 10 0.06666667
1 2 0.07692308
1 3 0.11111111
1 10 0.06666667
1 11 0.07142857
1 15 0.04166667
2 0 0.25000000
2 1 0.20000000
2 3 0.11111111
2 5 0.16666667
2 6 0.16666667
2 7 0.33333333
2 8 0.11111111
2 10 0.06666667
2 11 0.07142857
2 12 0.10000000
2 14 0.20000000
2 15 0.04166667
2 18 0.05882353
3 0 0.25000000
3 1 0.20000000
3 2 0.07692308
3 10 0.06666667
3 11 0.07142857
3 12 0.10000000
3 13 0.12500000
3 15 0.04166667
3 18 0.05882353
4 6 0.16666667
4 8 0.11111111
4 10 0.06666667
4 11 0.07142857
4 12 0.10000000
5 2 0.07692308
5 10 0.06666667
5 11 0.07142857
5 12 0.10000000
5 15 0.04166667
5 18 0.05882353
6 2 0.07692308
6 4 0.20000000
6 8 0.11111111
6 10 0.06666667
6 15 0.04166667
6 31 0.07142857
7 2 0.07692308
7 15 0.04166667
7 17 0.14285714
8 0 0.25000000
8 2 0.07692308
8 4 0.20000000
8 6 0.16666667
8 10 0.06666667
8 13 0.12500000
8 15 0.04166667
8 20 0.12500000
8 32 0.10000000
9 11 0.07142857
10 0 0.25000000
10 1 0.20000000
10 2 0.07692308
10 3 0.11111111
10 4 0.20000000
10 5 0.16666667
10 6 0.16666667
10 8 0.11111111
10 11 0.07142857
10 12 0.10000000
10 13 0.12500000
10 15 0.04166667
10 18 0.05882353
10 24 0.25000000
10 33 0.07142857
11 1 0.20000000
11 2 0.07692308
11 3 0.11111111
11 4 0.20000000
11 5 0.16666667
11 9 1.00000000
11 10 0.06666667
11 12 0.10000000
11 15 0.04166667
11 17 0.14285714
11 18 0.05882353
11 20 0.12500000
11 30 0.10000000
11 35 0.10000000
12 2 0.07692308
12 3 0.11111111
12 4 0.20000000
12 5 0.16666667
12 10 0.06666667
12 11 0.07142857
12 15 0.04166667
12 28 0.11111111
12 31 0.07142857
12 34 0.12500000
13 3 0.11111111
13 8 0.11111111
13 10 0.06666667
13 17 0.14285714
13 18 0.05882353
13 23 0.09090909
13 27 0.11111111
13 30 0.10000000
14 2 0.07692308
14 15 0.04166667
14 18 0.05882353
14 22 0.14285714
14 27 0.11111111
15 1 0.20000000
15 2 0.07692308
15 3 0.11111111
15 5 0.16666667
15 6 0.16666667
15 7 0.33333333
15 8 0.11111111
15 10 0.06666667
15 11 0.07142857
15 12 0.10000000
15 14 0.20000000
15 16 0.50000000
15 18 0.05882353
15 20 0.12500000
15 23 0.09090909
15 24 0.25000000
15 25 0.50000000
15 28 0.11111111
15 29 0.10000000
15 30 0.10000000
15 31 0.07142857
15 33 0.07142857
15 36 0.16666667
15 37 0.11111111
16 15 0.04166667
16 23 0.09090909
17 7 0.33333333
17 11 0.07142857
17 13 0.12500000
17 18 0.05882353
17 23 0.09090909
17 26 0.20000000
17 29 0.10000000
18 2 0.07692308
18 3 0.11111111
18 5 0.16666667
18 10 0.06666667
18 11 0.07142857
18 13 0.12500000
18 14 0.20000000
18 15 0.04166667
18 17 0.14285714
18 20 0.12500000
18 22 0.14285714
18 23 0.09090909
18 28 0.11111111
18 29 0.10000000
18 31 0.07142857
18 32 0.10000000
18 33 0.07142857
19 26 0.20000000
20 8 0.11111111
20 11 0.07142857
20 15 0.04166667
20 18 0.05882353
20 22 0.14285714
20 23 0.09090909
20 28 0.11111111
20 31 0.07142857
21 22 0.14285714
22 14 0.20000000
22 18 0.05882353
22 20 0.12500000
22 21 1.00000000
22 23 0.09090909
22 26 0.20000000
22 27 0.11111111
23 13 0.12500000
23 15 0.04166667
23 16 0.50000000
23 17 0.14285714
23 18 0.05882353
23 20 0.12500000
23 22 0.14285714
23 27 0.11111111
23 30 0.10000000
23 31 0.07142857
23 33 0.07142857
24 10 0.06666667
24 15 0.04166667
24 28 0.11111111
24 32 0.10000000
25 15 0.04166667
25 31 0.07142857
26 17 0.14285714
26 19 1.00000000
26 22 0.14285714
26 27 0.11111111
26 33 0.07142857
27 13 0.12500000
27 14 0.20000000
27 22 0.14285714
27 23 0.09090909
27 26 0.20000000
27 30 0.10000000
27 32 0.10000000
27 34 0.12500000
27 37 0.11111111
28 12 0.10000000
28 15 0.04166667
28 18 0.05882353
28 20 0.12500000
28 24 0.25000000
28 32 0.10000000
28 35 0.10000000
28 37 0.11111111
28 38 0.20000000
29 15 0.04166667
