alter ego quoteProb
25 31 0.07692308
25 6 0.07692308
25 7 0.07692308
25 26 0.07142857
25 11 0.07692308
25 8 0.07692308
25 18 0.06666667
25 10 0.07692308
25 16 0.07692308
25 3 0.07692308
25 23 0.07692308
25 12 0.07692308
25 17 0.07692308
31 25 0.07692308
31 13 0.07692308
31 22 0.07142857
31 15 0.07692308
31 14 0.07692308
31 19 0.07692308
31 28 0.07692308
31 4 0.07692308
31 1 0.07142857
31 29 0.07692308
31 17 0.07692308
31 26 0.07142857
31 27 0.07692308
12 6 0.07692308
12 7 0.07692308
12 29 0.07692308
12 18 0.06666667
12 11 0.07692308
12 8 0.07692308
12 30 0.07692308
12 9 0.07142857
12 28 0.07692308
12 3 0.07692308
12 25 0.07692308
12 27 0.07692308
12 1 0.07142857
6 12 0.07692308
6 25 0.07692308
6 27 0.07692308
6 11 0.07692308
6 2 0.07692308
6 7 0.07692308
6 8 0.07692308
6 1 0.07142857
6 28 0.07692308
6 24 0.07692308
6 18 0.06666667
6 29 0.07692308
6 3 0.07692308
9 30 0.07692308
9 21 0.07692308
9 5 0.07692308
9 10 0.07692308
9 16 0.07692308
9 2 0.07692308
9 27 0.07692308
9 24 0.07692308
9 12 0.07692308
9 32 0.07692308
9 23 0.07692308
9 26 0.07142857
9 20 0.06666667
9 18 0.06666667
30 9 0.07142857
30 4 0.07692308
30 21 0.07692308
30 32 0.07692308
30 24 0.07692308
30 5 0.07692308
30 19 0.07692308
30 12 0.07692308
30 17 0.07692308
30 20 0.06666667
30 2 0.07692308
30 22 0.07142857
30 27 0.07692308
10 7 0.07692308
10 8 0.07692308
10 23 0.07692308
10 9 0.07142857
10 19 0.07692308
10 26 0.07142857
10 3 0.07692308
10 25 0.07692308
10 32 0.07692308
10 21 0.07692308
10 16 0.07692308
10 14 0.07692308
10 24 0.07692308
7 10 0.07692308
7 12 0.07692308
7 25 0.07692308
7 8 0.07692308
7 3 0.07692308
7 13 0.07692308
7 6 0.07692308
7 23 0.07692308
7 11 0.07692308
7 18 0.06666667
7 26 0.07142857
7 16 0.07692308
7 22 0.07142857
11 20 0.06666667
11 18 0.06666667
11 32 0.07692308
11 6 0.07692308
11 25 0.07692308
11 12 0.07692308
11 29 0.07692308
11 27 0.07692308
11 8 0.07692308
11 7 0.07692308
11 3 0.07692308
11 1 0.07142857
11 28 0.07692308
20 11 0.07692308
20 24 0.07692308
20 4 0.07692308
20 22 0.07142857
20 21 0.07692308
20 17 0.07692308
20 2 0.07692308
20 5 0.07692308
20 29 0.07692308
20 30 0.07692308
20 19 0.07692308
20 32 0.07692308
20 9 0.07142857
20 1 0.07142857
20 18 0.06666667
14 15 0.07692308
14 17 0.07692308
14 1 0.07142857
14 27 0.07692308
14 31 0.07692308
14 29 0.07692308
14 28 0.07692308
14 13 0.07692308
14 19 0.07692308
14 3 0.07692308
14 10 0.07692308
14 22 0.07142857
14 4 0.07692308
15 14 0.07692308
15 1 0.07142857
15 13 0.07692308
15 31 0.07692308
15 27 0.07692308
15 29 0.07692308
15 16 0.07692308
15 22 0.07142857
15 4 0.07692308
15 28 0.07692308
15 17 0.07692308
15 19 0.07692308
15 8 0.07692308
16 3 0.07692308
16 23 0.07692308
16 24 0.07692308
16 21 0.07692308
16 9 0.07142857
16 32 0.07692308
16 26 0.07142857
16 15 0.07692308
16 25 0.07692308
16 10 0.07692308
16 4 0.07692308
16 8 0.07692308
16 7 0.07692308
3 16 0.07692308
3 26 0.07142857
3 8 0.07692308
3 19 0.07692308
3 7 0.07692308
3 18 0.06666667
3 10 0.07692308
3 14 0.07692308
3 25 0.07692308
3 12 0.07692308
3 11 0.07692308
3 6 0.07692308
3 23 0.07692308
17 2 0.07692308
17 14 0.07692308
17 26 0.07142857
17 4 0.07692308
17 22 0.07142857
17 20 0.06666667
17 19 0.07692308
17 30 0.07692308
17 5 0.07692308
17 15 0.07692308
17 31 0.07692308
17 13 0.07692308
17 25 0.07692308
2 17 0.07692308
2 5 0.07692308
2 19 0.07692308
2 28 0.07692308
2 6 0.07692308
2 9 0.07142857
2 20 0.06666667
2 32 0.07692308
2 21 0.07692308
2 30 0.07692308
2 24 0.07692308
2 22 0.07142857
2 4 0.07692308
8 18 0.06666667
8 10 0.07692308
8 3 0.07692308
8 7 0.07692308
8 4 0.07692308
8 25 0.07692308
8 12 0.07692308
8 6 0.07692308
8 11 0.07692308
8 26 0.07142857
8 16 0.07692308
8 23 0.07692308
8 15 0.07692308
18 8 0.07692308
18 11 0.07692308
18 28 0.07692308
18 12 0.07692308
18 29 0.07692308
18 3 0.07692308
18 25 0.07692308
18 27 0.07692308
18 6 0.07692308
18 1 0.07142857
18 7 0.07692308
18 5 0.07692308
18 21 0.07692308
18 9 0.07142857
18 20 0.06666667
13 22 0.07142857
13 31 0.07692308
13 15 0.07692308
13 23 0.07692308
13 1 0.07142857
13 7 0.07692308
13 28 0.07692308
13 4 0.07692308
13 14 0.07692308
13 27 0.07692308
13 29 0.07692308
13 17 0.07692308
13 19 0.07692308
22 13 0.07692308
22 19 0.07692308
22 31 0.07692308
22 20 0.06666667
22 17 0.07692308
22 4 0.07692308
22 23 0.07692308
22 15 0.07692308
22 5 0.07692308
22 30 0.07692308
22 2 0.07692308
22 14 0.07692308
22 7 0.07692308
22 26 0.07142857
24 5 0.07692308
24 20 0.06666667
24 16 0.07692308
24 30 0.07692308
24 23 0.07692308
24 32 0.07692308
24 21 0.07692308
24 9 0.07142857
24 26 0.07142857
24 6 0.07692308
24 2 0.07692308
24 28 0.07692308
24 10 0.07692308
5 24 0.07692308
5 2 0.07692308
5 9 0.07142857
5 32 0.07692308
5 30 0.07692308
5 4 0.07692308
5 1 0.07142857
5 20 0.06666667
5 17 0.07692308
5 22 0.07142857
5 19 0.07692308
5 18 0.06666667
5 21 0.07692308
1 28 0.07692308
1 15 0.07692308
1 14 0.07692308
1 13 0.07692308
1 27 0.07692308
1 21 0.07692308
1 5 0.07692308
1 6 0.07692308
1 29 0.07692308
1 31 0.07692308
1 18 0.06666667
1 11 0.07692308
1 12 0.07692308
1 20 0.06666667
28 1 0.07142857
28 27 0.07692308
28 18 0.06666667
28 29 0.07692308
28 2 0.07692308
28 13 0.07692308
28 14 0.07692308
28 31 0.07692308
28 6 0.07692308
28 12 0.07692308
28 15 0.07692308
28 24 0.07692308
28 11 0.07692308
27 29 0.07692308
27 28 0.07692308
27 6 0.07692308
27 14 0.07692308
27 15 0.07692308
27 1 0.07142857
27 9 0.07142857
27 11 0.07692308
27 18 0.06666667
27 13 0.07692308
27 30 0.07692308
27 12 0.07692308
27 31 0.07692308
29 27 0.07692308
29 32 0.07692308
29 12 0.07692308
29 28 0.07692308
29 18 0.06666667
29 15 0.07692308
29 14 0.07692308
29 11 0.07692308
29 20 0.06666667
29 1 0.07142857
29 6 0.07692308
29 31 0.07692308
