alter ego quoteProb
1 5 0.09090909
5 1 1.00000000
5 2 1.00000000
5 3 1.00000000
5 4 0.50000000
5 6 0.50000000
5 7 0.25000000
5 8 0.33333333
5 9 0.50000000
5 10 0.16666667
5 11 0.33333333
5 32 0.04545455
2 5 0.09090909
3 5 0.09090909
4 5 0.09090909
4 7 0.25000000
7 4 0.50000000
7 5 0.09090909
7 8 0.33333333
7 10 0.16666667
6 5 0.09090909
6 10 0.16666667
8 5 0.09090909
8 7 0.25000000
8 11 0.33333333
9 5 0.09090909
9 10 0.16666667
10 5 0.09090909
10 6 0.50000000
10 7 0.25000000
10 9 0.50000000
10 13 0.20000000
10 23 0.25000000
11 5 0.09090909
11 8 0.33333333
11 12 0.50000000
32 5 0.09090909
32 22 0.14285714
32 23 0.25000000
32 24 0.10000000
32 26 1.00000000
32 27 1.00000000
32 28 0.25000000
32 29 0.20000000
32 30 0.25000000
32 31 0.20000000
32 33 0.12500000
32 35 0.25000000
32 36 0.12500000
32 37 0.11111111
32 38 0.05555556
32 39 0.16666667
32 42 0.12500000
32 43 0.11111111
32 44 0.20000000
32 45 0.25000000
32 51 0.07692308
32 57 0.09090909
13 10 0.16666667
13 14 0.33333333
13 18 0.12500000
13 22 0.14285714
13 23 0.25000000
23 10 0.16666667
23 13 0.20000000
23 24 0.10000000
23 32 0.04545455
12 11 0.33333333
12 22 0.14285714
22 12 0.50000000
22 13 0.20000000
22 18 0.12500000
22 20 0.25000000
22 21 0.50000000
22 24 0.10000000
22 32 0.04545455
14 13 0.20000000
14 18 0.12500000
14 19 0.33333333
18 13 0.20000000
18 14 0.33333333
18 15 1.00000000
18 16 1.00000000
18 17 1.00000000
18 19 0.33333333
18 20 0.25000000
18 22 0.14285714
19 14 0.33333333
19 18 0.12500000
19 20 0.25000000
15 18 0.12500000
16 18 0.12500000
17 18 0.12500000
20 18 0.12500000
20 19 0.33333333
20 21 0.50000000
20 22 0.14285714
21 20 0.25000000
21 22 0.14285714
24 22 0.14285714
24 23 0.25000000
24 25 0.50000000
24 29 0.20000000
24 30 0.25000000
24 31 0.20000000
24 32 0.04545455
24 36 0.12500000
24 37 0.11111111
24 38 0.05555556
25 24 0.10000000
25 29 0.20000000
29 24 0.10000000
29 25 0.50000000
29 32 0.04545455
29 36 0.12500000
29 38 0.05555556
30 24 0.10000000
30 32 0.04545455
30 36 0.12500000
30 38 0.05555556
31 24 0.10000000
31 32 0.04545455
31 36 0.12500000
31 37 0.11111111
31 38 0.05555556
36 24 0.10000000
36 29 0.20000000
36 30 0.25000000
36 31 0.20000000
36 32 0.04545455
36 35 0.25000000
36 37 0.11111111
36 38 0.05555556
37 24 0.10000000
37 31 0.20000000
37 32 0.04545455
37 36 0.12500000
37 38 0.05555556
37 44 0.20000000
37 45 0.25000000
37 50 0.12500000
37 51 0.07692308
38 24 0.10000000
38 28 0.25000000
38 29 0.20000000
38 30 0.25000000
38 31 0.20000000
38 32 0.04545455
38 33 0.12500000
38 35 0.25000000
38 36 0.12500000
38 37 0.11111111
38 39 0.16666667
38 40 0.16666667
38 42 0.12500000
38 43 0.11111111
38 44 0.20000000
38 48 0.14285714
38 50 0.12500000
38 51 0.07692308
26 32 0.04545455
27 32 0.04545455
28 32 0.04545455
28 33 0.12500000
28 38 0.05555556
28 40 0.16666667
33 28 0.25000000
33 32 0.04545455
33 38 0.05555556
33 39 0.16666667
33 40 0.16666667
33 41 0.50000000
33 42 0.12500000
33 43 0.11111111
40 28 0.25000000
40 33 0.12500000
40 38 0.05555556
40 39 0.16666667
40 42 0.12500000
40 43 0.11111111
35 32 0.04545455
35 34 1.00000000
35 36 0.12500000
35 38 0.05555556
39 32 0.04545455
39 33 0.12500000
39 38 0.05555556
39 40 0.16666667
39 42 0.12500000
39 43 0.11111111
42 32 0.04545455
42 33 0.12500000
42 38 0.05555556
42 39 0.16666667
42 40 0.16666667
42 43 0.11111111
42 46 0.33333333
42 47 0.25000000
43 32 0.04545455
43 33 0.12500000
43 38 0.05555556
43 39 0.16666667
43 40 0.16666667
43 42 0.12500000
43 49 0.20000000
43 50 0.12500000
43 51 0.07692308
44 32 0.04545455
44 37 0.11111111
44 38 0.05555556
44 51 0.07692308
44 53 0.25000000
45 32 0.04545455
45 37 0.11111111
45 48 0.14285714
45 62 0.16666667
51 32 0.04545455
51 37 0.11111111
51 38 0.05555556
51 43 0.11111111
51 44 0.20000000
51 49 0.20000000
51 50 0.12500000
51 52 0.50000000
51 53 0.25000000
51 54 0.50000000
51 55 0.25000000
51 56 0.16666667
51 57 0.09090909
57 32 0.04545455
57 48 0.14285714
57 50 0.12500000
57 51 0.07692308
57 55 0.25000000
57 56 0.16666667
57 58 0.33333333
57 59 0.33333333
57 60 1.00000000
57 61 0.33333333
57 62 0.16666667
41 33 0.12500000
41 48 0.14285714
34 35 0.25000000
50 37 0.11111111
50 38 0.05555556
50 43 0.11111111
50 49 0.20000000
50 51 0.07692308
50 55 0.25000000
50 56 0.16666667
50 57 0.09090909
48 38 0.05555556
48 41 0.50000000
48 45 0.25000000
48 49 0.20000000
48 57 0.09090909
48 61 0.33333333
48 62 0.16666667
46 42 0.12500000
46 47 0.25000000
46 62 0.16666667
47 42 0.12500000
47 46 0.33333333
47 49 0.20000000
47 62 0.16666667
49 43 0.11111111
49 47 0.25000000
49 48 0.14285714
49 50 0.12500000
49 51 0.07692308
53 44 0.20000000
53 51 0.07692308
53 52 0.50000000
53 54 0.50000000
62 45 0.25000000
62 46 0.33333333
62 47 0.25000000
62 48 0.14285714
62 57 0.09090909
62 61 0.33333333
61 48 0.14285714
61 57 0.09090909
61 62 0.16666667
55 50 0.12500000
55 51 0.07692308
55 56 0.16666667
55 57 0.09090909
56 50 0.12500000
56 51 0.07692308
56 55 0.25000000
56 57 0.09090909
56 58 0.33333333
56 59 0.33333333
52 51 0.07692308
52 53 0.25000000
54 51 0.07692308
54 53 0.25000000
58 56 0.16666667
58 57 0.09090909
58 59 0.33333333
59 56 0.16666667
59 57 0.09090909
59 58 0.33333333
60 57 0.09090909
