network,num_nodes,num_edges,density,avg_k,max_k,min_k,assortativity,transitivity,average_clustering
Arxiv CondMat,13861,44619,0.0005,6.4,107,1,0.16,0.35,0.65
Email Enron,10486,54466,0.001,10.4,603,1,-0.16,0.09,0.21
Adolescent health,2539,10455,0.0032,8.2,27,1,0.25,0.14,0.15
Email Spain,1133,5452,0.0085,9.6,71,1,0.08,0.17,0.22
CKM physicians,110,193,0.0322,3.5,9,1,0.11,0.16,0.15
Terrorist,62,152,0.0804,4.9,22,1,-0.08,0.36,0.49
Dolphins,62,159,0.0841,5.1,12,1,-0.04,0.31,0.26
Les Miserables,77,254,0.0868,6.6,36,1,-0.17,0.5,0.57
Kapferer tailor,39,158,0.2132,8.1,24,1,-0.18,0.39,0.46
Hollywood music,39,219,0.2955,11.2,26,2,-0.08,0.56,0.66
Sampson's monastery,25,94,0.3133,7.5,14,3,-0.11,0.45,0.51
Golden Age,55,614,0.4135,22.3,43,4,-0.07,0.53,0.57
Freeman's EIES,34,415,0.7398,24.4,33,9,-0.15,0.82,0.84
