graph,ego_degree,quote_length,total_matches
star,1000,1.0,41637801.8805
star,1000,2.0,11580770.099
star,1000,3.0,2129271.8265
star,1000,4.0,297657.4855
star,1000,5.0,33604.187
star,1000,6.0,3059.5865
star,1000,7.0,243.927
star,1000,8.0,18.425
star,1000,9.0,2.246
star,1000,10.0,0.4905
star,1000,11.0,0.1145
star,1000,12.0,0.029
star,1000,13.0,0.0085
star,1000,14.0,0.0015
clique,1000,1.0,41738822.885
clique,1000,2.0,11542241.64
clique,1000,3.0,2141897.654
clique,1000,4.0,294267.3415
clique,1000,5.0,32789.2965
clique,1000,6.0,2977.389
clique,1000,7.0,243.6355
clique,1000,8.0,22.816
clique,1000,9.0,2.025
clique,1000,10.0,0.3975
clique,1000,11.0,0.1195
clique,1000,12.0,0.021
clique,1000,13.0,0.0055
clique,1000,14.0,0.0035
