graph,ego_degree,quote_length,total_matches
star,90,1.0,3776309.447
star,90,2.0,1037060.8015
star,90,3.0,192933.6055
star,90,4.0,26636.9945
star,90,5.0,3077.5725
star,90,6.0,283.83
star,90,7.0,31.6255
star,90,8.0,5.2805
star,90,9.0,1.4645
star,90,10.0,0.4075
star,90,11.0,0.101
star,90,12.0,0.026
star,90,13.0,0.0065
star,90,14.0,0.0035
star,90,15.0,0.0005
star,91,1.0,3777120.651
star,91,2.0,1051994.759
star,91,3.0,195781.135
star,91,4.0,27128.185
star,91,5.0,3019.4745
star,91,6.0,309.8355
star,91,7.0,34.1985
star,91,8.0,5.5345
star,91,9.0,1.4775
star,91,10.0,0.458
star,91,11.0,0.1005
star,91,12.0,0.025
star,91,13.0,0.0045
star,91,14.0,0.0005
star,92,1.0,3848844.487
star,92,2.0,1060451.1295
star,92,3.0,197675.849
star,92,4.0,27313.353
star,92,5.0,3044.967
star,92,6.0,297.855
star,92,7.0,33.611
star,92,8.0,5.6585
star,92,9.0,1.4425
star,92,10.0,0.432
star,92,11.0,0.098
star,92,12.0,0.026
star,92,13.0,0.0045
star,93,1.0,3862230.023
star,93,2.0,1077917.206
star,93,3.0,199400.2025
star,93,4.0,27686.5375
star,93,5.0,3074.1065
star,93,6.0,303.183
star,93,7.0,33.2465
star,93,8.0,5.8045
star,93,9.0,1.4455
star,93,10.0,0.416
star,93,11.0,0.112
star,93,12.0,0.0335
star,93,13.0,0.0095
star,93,15.0,0.0005
star,94,1.0,3924427.975
star,94,2.0,1088943.98
star,94,3.0,202972.0565
star,94,4.0,28041.5275
star,94,5.0,3165.7175
star,94,6.0,308.673
star,94,7.0,31.799
star,94,8.0,5.678
star,94,9.0,1.4485
star,94,10.0,0.3795
star,94,11.0,0.1155
star,94,12.0,0.022
star,94,13.0,0.0065
star,94,14.0,0.001
star,95,1.0,3957321.02
star,95,2.0,1104207.472
star,95,3.0,201976.6985
star,95,4.0,28206.013
star,95,5.0,3190.912
star,95,6.0,308.316
star,95,7.0,34.7615
star,95,8.0,6.0825
star,95,9.0,1.474
star,95,10.0,0.387
star,95,11.0,0.107
star,95,12.0,0.0295
star,95,13.0,0.007
star,95,14.0,0.002
star,96,1.0,3991416.0985
star,96,2.0,1114035.503
star,96,3.0,206165.9575
star,96,4.0,28729.185
star,96,5.0,3226.729
star,96,6.0,305.417
star,96,7.0,32.386
star,96,8.0,5.4685
star,96,9.0,1.4345
star,96,10.0,0.4005
star,96,11.0,0.101
star,96,12.0,0.0245
star,96,13.0,0.0045
star,96,14.0,0.0015
star,97,1.0,4043257.2665
star,97,2.0,1125461.3315
star,97,3.0,207359.4845
star,97,4.0,28843.7795
star,97,5.0,3288.865
star,97,6.0,315.8545
star,97,7.0,36.028
star,97,8.0,5.3115
star,97,9.0,1.402
star,97,10.0,0.4045
star,97,11.0,0.1165
star,97,12.0,0.0255
star,97,13.0,0.008
star,97,14.0,0.0025
star,98,1.0,4100452.8965
star,98,2.0,1138394.4705
star,98,3.0,208771.1615
star,98,4.0,29377.025
star,98,5.0,3283.7645
star,98,6.0,325.985
star,98,7.0,36.5695
star,98,8.0,5.9415
star,98,9.0,1.3875
star,98,10.0,0.388
star,98,11.0,0.114
star,98,12.0,0.0205
star,98,13.0,0.0075
star,98,14.0,0.0005
star,99,1.0,4113286.216
star,99,2.0,1141460.223
star,99,3.0,213109.9955
star,99,4.0,29556.973
star,99,5.0,3264.0615
star,99,6.0,323.7315
star,99,7.0,35.5945
star,99,8.0,5.67
star,99,9.0,1.421
star,99,10.0,0.424
star,99,11.0,0.1105
star,99,12.0,0.024
star,99,13.0,0.0055
star,100,1.0,4152149.421
star,100,2.0,1154154.824
star,100,3.0,212468.3845
star,100,4.0,29803.522
star,100,5.0,3260.1825
star,100,6.0,334.73
star,100,7.0,31.6515
star,100,8.0,5.9455
star,100,9.0,1.43
star,100,10.0,0.4085
star,100,11.0,0.123
star,100,12.0,0.0275
star,100,13.0,0.0085
star,100,14.0,0.002
clique,90,1.0,3746979.6345
clique,90,2.0,1036447.853
clique,90,3.0,192652.01
clique,90,4.0,26620.7335
clique,90,5.0,3123.1805
clique,90,6.0,310.0725
clique,90,7.0,32.6025
clique,90,8.0,5.606
clique,90,9.0,1.4505
clique,90,10.0,0.387
clique,90,11.0,0.125
clique,90,12.0,0.024
clique,90,13.0,0.0055
clique,91,1.0,3780756.4035
clique,91,2.0,1052596.5215
clique,91,3.0,196388.608
clique,91,4.0,27263.765
clique,91,5.0,3004.5015
clique,91,6.0,304.6025
clique,91,7.0,36.3215
clique,91,8.0,5.87
clique,91,9.0,1.522
clique,91,10.0,0.3825
clique,91,11.0,0.107
clique,91,12.0,0.024
clique,91,13.0,0.006
clique,91,14.0,0.002
clique,92,1.0,3830949.722
clique,92,2.0,1072391.339
clique,92,3.0,197471.897
clique,92,4.0,27673.0915
clique,92,5.0,3119.8265
clique,92,6.0,314.6705
clique,92,7.0,33.6685
clique,92,8.0,5.7395
clique,92,9.0,1.4025
clique,92,10.0,0.3765
clique,92,11.0,0.117
clique,92,12.0,0.023
clique,92,13.0,0.006
clique,92,14.0,0.001
clique,93,1.0,3881191.2845
clique,93,2.0,1077732.6375
clique,93,3.0,197962.4935
clique,93,4.0,28052.388
clique,93,5.0,3096.3075
clique,93,6.0,324.845
clique,93,7.0,33.632
clique,93,8.0,5.675
clique,93,9.0,1.366
clique,93,10.0,0.4095
clique,93,11.0,0.119
clique,93,12.0,0.02
clique,93,13.0,0.0045
clique,93,14.0,0.001
clique,94,1.0,3931383.0395
clique,94,2.0,1086896.135
clique,94,3.0,203377.6625
clique,94,4.0,27983.115
clique,94,5.0,3177.0905
clique,94,6.0,314.119
clique,94,7.0,37.304
clique,94,8.0,5.897
clique,94,9.0,1.5295
clique,94,10.0,0.397
clique,94,11.0,0.106
clique,94,12.0,0.0315
clique,94,13.0,0.008
clique,94,14.0,0.001
clique,94,15.0,0.001
clique,95,1.0,3925421.008
clique,95,2.0,1101617.5665
clique,95,3.0,202028.4725
clique,95,4.0,28243.1305
clique,95,5.0,3224.804
clique,95,6.0,332.509
clique,95,7.0,31.919
clique,95,8.0,6.0015
clique,95,9.0,1.385
clique,95,10.0,0.4145
clique,95,11.0,0.1145
clique,95,12.0,0.026
clique,95,13.0,0.012
clique,95,14.0,0.002
clique,95,15.0,0.0005
clique,96,1.0,4015153.8115
clique,96,2.0,1114237.0835
clique,96,3.0,205538.3265
clique,96,4.0,28119.1195
clique,96,5.0,3178.4845
clique,96,6.0,323.893
clique,96,7.0,34.919
clique,96,8.0,6.164
clique,96,9.0,1.4035
clique,96,10.0,0.4015
clique,96,11.0,0.1065
clique,96,12.0,0.026
clique,96,13.0,0.007
clique,96,15.0,0.0005
clique,96,16.0,0.0005
clique,97,1.0,4060483.3845
clique,97,2.0,1126557.8835
clique,97,3.0,208765.731
clique,97,4.0,29001.6565
clique,97,5.0,3326.473
clique,97,6.0,320.972
clique,97,7.0,32.7215
clique,97,8.0,5.6115
clique,97,9.0,1.4945
clique,97,10.0,0.3845
clique,97,11.0,0.108
clique,97,12.0,0.0255
clique,97,13.0,0.007
clique,97,14.0,0.0015
clique,98,1.0,4066565.291
clique,98,2.0,1138025.527
clique,98,3.0,210448.2165
clique,98,4.0,29091.255
clique,98,5.0,3199.8235
clique,98,6.0,314.2425
clique,98,7.0,34.4175
clique,98,8.0,5.6105
clique,98,9.0,1.4755
clique,98,10.0,0.4015
clique,98,11.0,0.1255
clique,98,12.0,0.029
clique,98,13.0,0.0065
clique,98,14.0,0.0015
clique,99,1.0,4145758.9
clique,99,2.0,1136913.7485
clique,99,3.0,212150.8755
clique,99,4.0,29178.655
clique,99,5.0,3387.7555
clique,99,6.0,326.23
clique,99,7.0,36.098
clique,99,8.0,5.4075
clique,99,9.0,1.398
clique,99,10.0,0.405
clique,99,11.0,0.1175
clique,99,12.0,0.0285
clique,99,13.0,0.0055
clique,99,14.0,0.0005
clique,100,1.0,4172444.374
clique,100,2.0,1161862.749
clique,100,3.0,213200.83
clique,100,4.0,29804.7755
clique,100,5.0,3426.283
clique,100,6.0,333.4075
clique,100,7.0,36.6115
clique,100,8.0,5.674
clique,100,9.0,1.426
clique,100,10.0,0.416
clique,100,11.0,0.1145
clique,100,12.0,0.0295
clique,100,13.0,0.0035
clique,100,14.0,0.0015
