graph,ego_degree,quote_length,total_matches
star,1.0,1.0,40959.555
star,1.0,2.0,11591.3
star,1.0,3.0,2262.52
star,1.0,4.0,357.175
star,1.0,5.0,87.8
star,1.0,6.0,27.745
star,1.0,7.0,10.785
star,1.0,8.0,4.225
star,1.0,9.0,1.35
star,1.0,10.0,0.435
star,1.0,11.0,0.13
star,1.0,12.0,0.025
star,1.0,13.0,0.005
star,2.0,1.0,81834.805
star,2.0,2.0,23167.775
star,2.0,3.0,4323.755
star,2.0,4.0,627.92
star,2.0,5.0,116.555
star,2.0,6.0,31.375
star,2.0,7.0,11.42
star,2.0,8.0,4.035
star,2.0,9.0,1.445
star,2.0,10.0,0.445
star,2.0,11.0,0.095
star,2.0,12.0,0.03
star,2.0,13.0,0.005
star,3.0,1.0,127938.725
star,3.0,2.0,35151.545
star,3.0,3.0,6595.835
star,3.0,4.0,994.305
star,3.0,5.0,147.795
star,3.0,6.0,34.675
star,3.0,7.0,11.74
star,3.0,8.0,3.99
star,3.0,9.0,1.2
star,3.0,10.0,0.31
star,3.0,11.0,0.115
star,3.0,12.0,0.025
star,3.0,14.0,0.005
star,4.0,1.0,165318.14
star,4.0,2.0,46254.695
star,4.0,3.0,8551.005
star,4.0,4.0,1296.73
star,4.0,5.0,178.635
star,4.0,6.0,38.68
star,4.0,7.0,12.13
star,4.0,8.0,4.195
star,4.0,9.0,1.285
star,4.0,10.0,0.39
star,4.0,11.0,0.155
star,4.0,12.0,0.045
star,4.0,13.0,0.005
star,6.0,1.0,248745.315
star,6.0,2.0,69540.435
star,6.0,3.0,12777.16
star,6.0,4.0,1821.295
star,6.0,5.0,227.795
star,6.0,6.0,41.485
star,6.0,7.0,12.4
star,6.0,8.0,4.005
star,6.0,9.0,1.24
star,6.0,10.0,0.425
star,6.0,11.0,0.1
star,6.0,12.0,0.01
star,8.0,1.0,335651.9
star,8.0,2.0,93120.075
star,8.0,3.0,17129.67
star,8.0,4.0,2373.72
star,8.0,5.0,329.95
star,8.0,6.0,46.855
star,8.0,7.0,13.06
star,8.0,8.0,4.215
star,8.0,9.0,1.415
star,8.0,10.0,0.39
star,8.0,11.0,0.075
star,8.0,12.0,0.035
star,8.0,13.0,0.01
star,11.0,1.0,452940.37
star,11.0,2.0,126774.575
star,11.0,3.0,23778.83
star,11.0,4.0,3220.325
star,11.0,5.0,423.645
star,11.0,6.0,59.45
star,11.0,7.0,12.745
star,11.0,8.0,4.08
star,11.0,9.0,1.19
star,11.0,10.0,0.36
star,11.0,11.0,0.08
star,11.0,12.0,0.025
star,11.0,13.0,0.02
star,16.0,1.0,668985.18
star,16.0,2.0,183557.96
star,16.0,3.0,34570.29
star,16.0,4.0,4923.625
star,16.0,5.0,601.16
star,16.0,6.0,73.35
star,16.0,7.0,15.33
star,16.0,8.0,4.625
star,16.0,9.0,1.35
star,16.0,10.0,0.385
star,16.0,11.0,0.1
star,16.0,12.0,0.045
star,22.0,1.0,917179.55
star,22.0,2.0,260105.79
star,22.0,3.0,46515.565
star,22.0,4.0,6739.215
star,22.0,5.0,725.14
star,22.0,6.0,80.925
star,22.0,7.0,16.685
star,22.0,8.0,5.02
star,22.0,9.0,1.235
star,22.0,10.0,0.4
star,22.0,11.0,0.135
star,22.0,12.0,0.025
star,22.0,13.0,0.015
star,32.0,1.0,1330198.315
star,32.0,2.0,363156.52
star,32.0,3.0,68481.57
star,32.0,4.0,9185.29
star,32.0,5.0,1074.45
star,32.0,6.0,107.625
star,32.0,7.0,18.835
star,32.0,8.0,4.7
star,32.0,9.0,1.365
star,32.0,10.0,0.49
star,32.0,11.0,0.13
star,32.0,12.0,0.015
star,32.0,13.0,0.01
star,45.0,1.0,1911898.885
star,45.0,2.0,533747.105
star,45.0,3.0,93438.73
star,45.0,4.0,13536.99
star,45.0,5.0,1629.525
star,45.0,6.0,148.55
star,45.0,7.0,22.98
star,45.0,8.0,4.89
star,45.0,9.0,1.295
star,45.0,10.0,0.31
star,45.0,11.0,0.11
star,45.0,12.0,0.03
star,63.0,1.0,2617004.085
star,63.0,2.0,716733.91
star,63.0,3.0,131028.23
star,63.0,4.0,19164.035
star,63.0,5.0,1960.07
star,63.0,6.0,177.93
star,63.0,7.0,25.3
star,63.0,8.0,5.51
star,63.0,9.0,1.535
star,63.0,10.0,0.435
star,63.0,11.0,0.065
star,63.0,12.0,0.01
star,63.0,13.0,0.015
star,63.0,14.0,0.005
star,89.0,1.0,3715441.66
star,89.0,2.0,1023454.68
star,89.0,3.0,190332.91
star,89.0,4.0,25933.865
star,89.0,5.0,2856.57
star,89.0,6.0,298.155
star,89.0,7.0,33.535
star,89.0,8.0,4.835
star,89.0,9.0,1.41
star,89.0,10.0,0.42
star,89.0,11.0,0.08
star,89.0,12.0,0.02
star,89.0,13.0,0.005
