graph,ego_degree,quote_length,total_matches
star,1,1.0,41382.5775
star,1,2.0,11605.9175
star,1,3.0,2238.645
star,1,4.0,381.0875
star,1,5.0,84.42
star,1,6.0,28.443
star,1,7.0,11.065
star,1,8.0,4.0775
star,1,9.0,1.3565
star,1,10.0,0.41
star,1,11.0,0.125
star,1,12.0,0.025
star,1,13.0,0.01
star,1,14.0,0.002
star,2,1.0,83743.0465
star,2,2.0,23234.3315
star,2,3.0,4369.23
star,2,4.0,673.338
star,2,5.0,119.03
star,2,6.0,31.312
star,2,7.0,11.3185
star,2,8.0,3.989
star,2,9.0,1.3975
star,2,10.0,0.4015
star,2,11.0,0.1225
star,2,12.0,0.0295
star,2,13.0,0.0035
star,2,14.0,0.001
star,2,15.0,0.001
star,3,1.0,125156.0765
star,3,2.0,34606.3905
star,3,3.0,6502.6315
star,3,4.0,972.5275
star,3,5.0,151.2865
star,3,6.0,35.0145
star,3,7.0,11.546
star,3,8.0,4.1155
star,3,9.0,1.3345
star,3,10.0,0.4115
star,3,11.0,0.102
star,3,12.0,0.025
star,3,13.0,0.0035
star,3,14.0,0.0005
star,4,1.0,166063.5575
star,4,2.0,46174.1435
star,4,3.0,8673.706
star,4,4.0,1270.007
star,4,5.0,183.5965
star,4,6.0,37.681
star,4,7.0,11.984
star,4,8.0,4.1755
star,4,9.0,1.398
star,4,10.0,0.41
star,4,11.0,0.109
star,4,12.0,0.032
star,4,13.0,0.005
star,4,14.0,0.0015
star,4,15.0,0.0005
star,4,16.0,0.0005
star,5,1.0,207438.26
star,5,2.0,58376.5855
star,5,3.0,10814.559
star,5,4.0,1576.028
star,5,5.0,219.281
star,5,6.0,40.091
star,5,7.0,11.9815
star,5,8.0,4.1925
star,5,9.0,1.329
star,5,10.0,0.39
star,5,11.0,0.102
star,5,12.0,0.0305
star,5,13.0,0.009
star,5,14.0,0.004
star,5,15.0,0.0005
star,6,1.0,250480.2545
star,6,2.0,68982.1815
star,6,3.0,12928.2555
star,6,4.0,1840.505
star,6,5.0,249.414
star,6,6.0,43.4455
star,6,7.0,12.316
star,6,8.0,4.2125
star,6,9.0,1.3195
star,6,10.0,0.3935
star,6,11.0,0.1035
star,6,12.0,0.0235
star,6,13.0,0.005
star,6,14.0,0.0005
star,7,1.0,293042.7545
star,7,2.0,80436.737
star,7,3.0,15137.772
star,7,4.0,2163.065
star,7,5.0,284.4555
star,7,6.0,46.5755
star,7,7.0,12.453
star,7,8.0,4.215
star,7,9.0,1.3445
star,7,10.0,0.4085
star,7,11.0,0.1095
star,7,12.0,0.0255
star,7,13.0,0.0055
star,7,14.0,0.0025
star,8,1.0,331780.344
star,8,2.0,92942.45
star,8,3.0,17300.968
star,8,4.0,2451.354
star,8,5.0,307.6785
star,8,6.0,50.1155
star,8,7.0,12.836
star,8,8.0,4.129
star,8,9.0,1.325
star,8,10.0,0.3985
