graph,ego_degree,quote_length,total_matches
star,1.0,1,42082.495
star,1.0,2,12040.17
star,1.0,3,2339.71
star,1.0,4,425.235
star,1.0,5,93.52
star,1.0,6,30.925
star,1.0,7,11.315
star,1.0,8,4.175
star,1.0,9,1.255
star,1.0,10,0.385
star,1.0,11,0.09
star,1.0,12,0.015
star,1.0,13,0.005
star,1.0,14,0.005
star,2.0,1,84924.035
star,2.0,2,24645.44
star,2.0,3,4691.25
star,2.0,4,761.625
star,2.0,5,140.75
star,2.0,6,35.32
star,2.0,7,11.83
star,2.0,8,4.03
star,2.0,9,1.275
star,2.0,10,0.395
star,2.0,11,0.135
star,2.0,12,0.02
star,2.0,13,0.015
star,3.0,1,126845.51
star,3.0,2,35819.02
star,3.0,3,6809.57
star,3.0,4,1158.525
star,3.0,5,186.25
star,3.0,6,41.385
star,3.0,7,12.7
star,3.0,8,4.245
star,3.0,9,1.28
star,3.0,10,0.37
star,3.0,11,0.13
star,3.0,12,0.045
star,3.0,13,0.01
star,3.0,14,0.005
star,4.0,1,165736.795
star,4.0,2,47754.635
star,4.0,3,8808.54
star,4.0,4,1425.73
star,4.0,5,220.36
star,4.0,6,43.535
star,4.0,7,12.185
star,4.0,8,4.175
star,4.0,9,1.175
star,4.0,10,0.445
star,4.0,11,0.1
star,4.0,12,0.04
star,4.0,13,0.015
star,4.0,14,0.01
star,6.0,1,248840.535
star,6.0,2,69730.18
star,6.0,3,13705.645
star,6.0,4,2050.405
star,6.0,5,291.81
star,6.0,6,51.78
star,6.0,7,13.675
star,6.0,8,4.315
star,6.0,9,1.305
star,6.0,10,0.435
star,6.0,11,0.105
star,6.0,12,0.025
star,8.0,1,337769.875
star,8.0,2,94652.47
star,8.0,3,18329.99
star,8.0,4,2746.92
star,8.0,5,365.175
star,8.0,6,63.815
star,8.0,7,14.67
star,8.0,8,4.76
star,8.0,9,1.335
star,8.0,10,0.315
star,8.0,11,0.08
star,8.0,12,0.025
star,8.0,13,0.01
star,11.0,1,454030.635
star,11.0,2,128761.93
star,11.0,3,23647.415
star,11.0,4,3540.04
star,11.0,5,459.835
star,11.0,6,75.02
star,11.0,7,16.265
star,11.0,8,4.725
star,11.0,9,1.32
star,11.0,10,0.32
star,11.0,11,0.12
star,11.0,12,0.035
star,16.0,1,669101.49
star,16.0,2,189305.2
star,16.0,3,35216.075
star,16.0,4,5109.49
star,16.0,5,695.915
star,16.0,6,93.42
star,16.0,7,17.96
star,16.0,8,5.165
star,16.0,9,1.345
star,16.0,10,0.49
star,16.0,11,0.095
star,16.0,12,0.02
star,16.0,13,0.005
star,22.0,1,928948.735
star,22.0,2,253674.095
star,22.0,3,49612.29
star,22.0,4,7258.55
star,22.0,5,974.375
star,22.0,6,124.25
star,22.0,7,22.29
star,22.0,8,5.07
star,22.0,9,1.515
star,22.0,10,0.395
star,22.0,11,0.035
star,22.0,12,0.05
star,22.0,13,0.005
star,22.0,14,0.005
star,32.0,1,1364549.045
star,32.0,2,377621.335
star,32.0,3,70637.41
star,32.0,4,11049.105
star,32.0,5,1474.15
star,32.0,6,163.34
star,32.0,7,30.315
star,32.0,8,5.665
star,32.0,9,1.695
star,32.0,10,0.495
star,32.0,11,0.11
star,32.0,12,0.03
star,32.0,13,0.005
star,45.0,1,1922244.0
star,45.0,2,522012.605
star,45.0,3,98680.045
star,45.0,4,14717.985
star,45.0,5,1785.355
star,45.0,6,248.97
star,45.0,7,30.96
star,45.0,8,6.135
star,45.0,9,1.52
star,45.0,10,0.425
star,45.0,11,0.12
star,45.0,12,0.02
star,45.0,13,0.005
star,63.0,1,2657088.82
star,63.0,2,744621.155
star,63.0,3,139314.785
star,63.0,4,21159.825
star,63.0,5,2627.555
star,63.0,6,289.71
star,63.0,7,39.29
star,63.0,8,6.88
star,63.0,9,1.65
star,63.0,10,0.425
star,63.0,11,0.12
star,63.0,12,0.02
star,63.0,13,0.005
star,89.0,1,3753849.335
star,89.0,2,1056888.275
star,89.0,3,199588.36
star,89.0,4,31195.795
star,89.0,5,4011.135
star,89.0,6,474.625
star,89.0,7,48.67
star,89.0,8,8.855
star,89.0,9,2.165
star,89.0,10,0.455
star,89.0,11,0.075
star,89.0,12,0.025
star,89.0,14,0.005
star,126.0,1,5281851.97
star,126.0,2,1474902.26
star,126.0,3,279408.04
star,126.0,4,41144.205
star,126.0,5,5497.945
star,126.0,6,597.17
star,126.0,7,75.355
star,126.0,8,9.4
star,126.0,9,2.075
star,126.0,10,0.425
star,126.0,11,0.125
star,126.0,12,0.03
star,126.0,13,0.005
star,178.0,1,7445325.845
star,178.0,2,2063242.67
star,178.0,3,388257.345
star,178.0,4,56895.225
star,178.0,5,6982.405
star,178.0,6,823.42
star,178.0,7,95.49
star,178.0,8,13.155
star,178.0,9,1.9
star,178.0,10,0.44
star,178.0,11,0.13
star,178.0,12,0.015
star,178.0,13,0.005
star,251.0,1,10548900.105
star,251.0,2,2896851.17
star,251.0,3,549910.785
star,251.0,4,83408.585
star,251.0,5,10492.54
star,251.0,6,1266.51
star,251.0,7,137.915
star,251.0,8,14.68
star,251.0,9,3.635
star,251.0,10,0.575
star,251.0,11,0.19
star,251.0,12,0.035
star,251.0,14,0.005
star,355.0,1,14489307.25
star,355.0,2,4221305.77
star,355.0,3,777635.98
star,355.0,4,123806.87
star,355.0,5,14322.305
star,355.0,6,1796.35
star,355.0,7,204.39
star,355.0,8,25.065
star,355.0,9,3.055
star,355.0,10,0.61
star,355.0,11,0.1
star,355.0,12,0.035
star,355.0,13,0.035
star,355.0,14,0.01
star,501.0,1,21075951.575
star,501.0,2,5852399.85
star,501.0,3,1133998.8
star,501.0,4,164489.965
star,501.0,5,19947.925
star,501.0,6,2341.8
star,501.0,7,239.235
star,501.0,8,31.815
star,501.0,9,3.84
star,501.0,10,0.645
star,501.0,11,0.175
star,501.0,12,0.03
star,501.0,13,0.015
star,501.0,14,0.005
star,708.0,1,30258830.075
star,708.0,2,8038775.18
star,708.0,3,1524208.93
star,708.0,4,227408.845
star,708.0,5,29375.22
star,708.0,6,3865.46
star,708.0,7,318.315
star,708.0,8,33.32
star,708.0,9,4.415
star,708.0,10,0.84
star,708.0,11,0.12
star,708.0,12,0.05
star,708.0,13,0.005
star,708.0,14,0.005
star,1000.0,1,41938643.545
star,1000.0,2,11626208.3
star,1000.0,3,2179063.175
star,1000.0,4,329149.825
star,1000.0,5,36549.0
star,1000.0,6,4252.92
star,1000.0,7,436.71
star,1000.0,8,57.08
star,1000.0,9,4.77
star,1000.0,10,0.77
star,1000.0,11,0.14
star,1000.0,12,0.03
star,1000.0,14,0.01
clique,1.0,1,42267.15
clique,1.0,2,12121.125
clique,1.0,3,2480.67
clique,1.0,4,456.92
clique,1.0,5,100.49
clique,1.0,6,32.0
clique,1.0,7,11.295
clique,1.0,8,4.16
clique,1.0,9,1.46
clique,1.0,10,0.435
clique,1.0,11,0.12
clique,1.0,12,0.025
clique,2.0,1,83524.68
clique,2.0,2,22966.515
clique,2.0,3,4494.205
clique,2.0,4,711.295
clique,2.0,5,134.4
clique,2.0,6,34.73
clique,2.0,7,12.04
clique,2.0,8,4.095
clique,2.0,9,1.25
clique,2.0,10,0.425
clique,2.0,11,0.12
clique,2.0,12,0.04
clique,2.0,13,0.025
clique,3.0,1,126784.28
clique,3.0,2,35844.145
clique,3.0,3,6759.81
clique,3.0,4,1069.88
clique,3.0,5,167.665
clique,3.0,6,36.695
clique,3.0,7,12.03
clique,3.0,8,4.195
clique,3.0,9,1.575
clique,3.0,10,0.41
clique,3.0,11,0.14
clique,3.0,12,0.045
clique,3.0,13,0.01
clique,3.0,14,0.005
clique,4.0,1,164973.34
clique,4.0,2,47191.98
clique,4.0,3,8872.405
clique,4.0,4,1396.415
clique,4.0,5,218.085
clique,4.0,6,41.685
clique,4.0,7,12.29
clique,4.0,8,4.18
clique,4.0,9,1.425
clique,4.0,10,0.445
clique,4.0,11,0.11
clique,4.0,12,0.02
clique,4.0,14,0.005
clique,6.0,1,253458.48
clique,6.0,2,69394.55
clique,6.0,3,13378.1
clique,6.0,4,1967.765
clique,6.0,5,266.415
clique,6.0,6,48.395
clique,6.0,7,13.55
clique,6.0,8,4.295
clique,6.0,9,1.325
clique,6.0,10,0.43
clique,6.0,11,0.105
clique,6.0,12,0.03
clique,6.0,13,0.01
clique,6.0,14,0.005
clique,8.0,1,334738.885
clique,8.0,2,91802.0
clique,8.0,3,17420.35
clique,8.0,4,2510.275
clique,8.0,5,336.825
clique,8.0,6,53.805
clique,8.0,7,12.865
