network,nodes,edges,density,average_degree,max_degree,min_degree,degree_assortativity,transitivity,average_clustering,ASPL,average_hx,average_hxsquared,average_ECC,count
CKM physicians,110,241,0.040200167,4.381818182,10.02333333,1,0.0603266,0.120389845,0.116882374,3.465080345,3.117695867,9.737052773,0.173248708,115800
Dolphins,62,198,0.104706504,6.387096774,13.59666667,1.083333333,-0.031719303,0.251338554,0.230694204,2.544038428,3.158373271,9.988027063,0.344388602,95400
Email Spain,1133,6815,0.010627216,12.03000883,73.35,1,0.13084933,0.132377426,0.128055279,3.219995067,3.301946785,10.91013804,0.218411743,150000
Freeman's EIES,34,518,0.923351159,30.47058824,33,24.34,-0.08004024,0.928756501,0.92977938,1.076648841,3.219475769,10.37209345,0.971441552,150000
Golden Age,55,767,0.516498316,27.89090909,45.37,11.01333333,-0.025829937,0.5608209,0.570234021,1.517571268,3.245348051,10.53813935,0.677052432,150000
Kapferer tailor,39,197,0.26585695,10.1025641,25.01333333,2.153333333,-0.122038653,0.380665954,0.414003937,1.825290148,3.177465907,10.10481029,0.537797538,94800
Les Miserables,77,317,0.108339029,8.233766234,36.86,1.053333333,-0.083691549,0.415451143,0.435554046,2.360266576,3.178701664,10.1179459,0.674167907,150000
Hollywood music,39,273,0.368421053,14,27.8,4.416666667,-0.028794653,0.532488985,0.5460734,1.65688709,3.193546066,10.20694421,0.718462495,131400
Sampson's monastery,25,117,0.39,9.36,15.38666667,4.66,-0.094658529,0.457661149,0.482622314,1.639222222,3.108206664,9.672224877,0.696094488,42600
Terrorist,62,190,0.100475939,6.129032258,22.77,1.033333333,-0.03775024,0.302300728,0.354082448,2.54583113,3.136939507,9.855822386,0.53803405,91200
